"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263297/0/120/90/76564a310217d2364ee5dc358cbb3b7b/13/6f62054ad7c1f8d791de1347761dfb31/262263297.JPG","R2241670","Land Only","X","5255 41 STREET","Fort Nelson -Town","$21,900","61",,,"0.00",,,,,,,"Road Access",,,,,"250-500-1434",,"Fort Nelson (Zone 64)",,,,,"No","Not Available",,,,,"Fort Nelson","Land",,,,,,,"120","No",,"At Lot Line","4/22/2018",,,,"SHERRY",,"60.00",,"$864.99","Yes",,,"No",,,"4/23/2018",,"2/21/2018","$21,900","0.00",,"At Lot Line",,,"CANADA MORTGAGE AND HOUSING CORPORATION",,"004-301-544",,,"V0C 1R0","$0",,"No","BC","Opportunity knocks! Grab this value-priced lot in a developed neighbourhood, and set your family up for comfort and happiness. Zoning allows for placement of a mobile home on the property, so you can bring your own existing mobile over, or purchase one (new or used, ask what's available) that meets your needs. Of course, you can also build a house on this property if that's your preference. Lots of possibilities..","Schedule A must accompany all offers. As is - where is. Sample contract is in attached documents. Existing mobile home has been de-energized, and has no value.","BC Northern","For Sale","At Lot Line",,,,,,"4/23/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"RS-2"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262197548/0/120/90/083b94ad6f9ae5ce34dca6b2ca9a9726/13/0854518f74af7e4f918a1d8e191b5a42/262197548.JPG","R2175921","Land Only","S","Lot 21 KALLUM DRIVE","108 Ranch","$28,000","291",,,"48,787.20",,,,,,,"Road Access","5/14/2018",,,,"250-644-1100",,"100 Mile House (Zone 10)",,,,,"No","Not Available","ELIAS",,,,"108 Mile Ranch","Land",,,,"4/21/2018",,"285",,"No",,"Available","6/30/2018",,,,"Michelle/Gisela",,,,"$459.00","Yes",,,"No","WILLIAMS LAKE RURAL",,"5/1/2018",,"6/3/2017","$29,000","1.12","100 Mile House","Available",,,"ROSAMOND NORBURY & BARBARA BEEBY",,"007-999-879",,"House/Single Family","V0K 2Z0","$35,000","$0.57","Yes - Forest Land Reserve","BC","Affordable building lot in the 108 Ranch. Could be a perfect holding property in the short term OR the ideal property to build. 108 Mile Ranch has municipal water, natural gas, telephone and high speed internet & cable. Volunteer fire department, grocery store, elementary school & church all within the community not to mention the green belt area offering thousands of acres of walking trails including an established trail around the lakes.",,"BC Northern","For Sale","None","4/21/2018","$28,000","$0.57","0.80","0.97","5/1/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R1-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262279585/0/120/90/f7f51662754feb2350695d31d0fc79bf/13/3882e3cb5e9b6bdb090366142be371fb/262279585.JPG","R2257958","Land Only","S","Lot 108 KITWANGA DRIVE","108 Ranch","$35,000","4",,,"23,086.80",,,,,,,"Allowed Access","5/14/2018",,,,"250-706-5500",,"100 Mile House (Zone 10)",,,,,"No","Not Available","BROWN",,,,"108 Mile Ranch","Land",,,"108 Mile Ranch","4/20/2018",,"3","0","No",,"Available","10/31/2018",,,,"David Jurek",,"0.00",,"$490.36","Yes",,,"Yes","DISTRICT OF 100 MILE HOUSE",,"5/2/2018",,"4/16/2018","$39,900","0.53","100 Mile House","Available",,,"FIREFOX DEVELOPMENTS LTD.",,"008-007-497",,,"V0K 2Z0","$0","$1.52","No","BC","This fully usable lot located in the 108 mile ranch is perfectly situated for a rancher or walk out rancher and awaits your dream home. Adjacent lot also available!","Adjacent Lot 109 Available also","BC Northern","For Sale","None","4/20/2018","$35,000","$1.52","0.88","0.88","4/27/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R1-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262279594/0/120/90/d70802fe83fe2ea2f122bfe8f31f64ac/13/abd544e97dcf78d52de2f562fae1cb01/262279594.JPG","R2257967","Land Only","S","Lot 109 KITWANGA DRIVE","108 Ranch","$35,000","4",,,"25,700.40",,,,,,,"Allowed Access","5/14/2018",,,,"250-706-5500",,"100 Mile House (Zone 10)",,,,,"No","Mandatory","BROWN",,,,"108 Mile Ranch","Land",,,"108 Mile Ranch","4/20/2018",,"3","0","No",,"Available","10/31/2018",,,,"David Jurek",,"0.00",,"$495.75","Yes",,,"Yes","DISTRICT OF 100 MILE HOUSE",,"5/2/2018",,"4/16/2018","$39,900","0.59","100 Mile House","Available",,,"FIREFOX DEVELOPMENTS LTD.",,"008-007-519",,,"V0K 2Z0","$0","$1.36","No","BC","This fully usable lot located in the 108 mile ranch is perfectly situated for a rancher or walk out rancher and awaits your dream home. Adjacent lot also available!","Adjacent Lot 108 Also For Sale","BC Northern","For Sale","None","4/20/2018","$35,000","$1.36","0.88","0.88","4/27/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R1-1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262278126/0/120/90/cc0a0e7c525b9cedd7d172dade647c07/13/086cad2381d675b073f54341590b69fc/262278126.JPG","R2256499","Residential Detached","S","25 5378 PARK DRIVE","103 Mile House","$35,000","10","2","1989","0.00","MANUF","1",,,,,,"4/30/2018","29",,,"250-644-1100",,"100 Mile House (Zone 10)",,,"0","2",,,"ROBERTSON",,,,"103 Mile House","Residential Detached",,,"PARK DRIVE ESTATES","4/21/2018","454207","9","14",,"Detached",,"6/30/2018",,"0","924","MICHELLE","Other","66.00","2","$273.00","Yes",,,,,,"4/25/2018",,"4/11/2018","$39,900","0.00",,,,"1","PARK DRIVE ESTATES LTD.",,"800-121-169",,,"V0K 2E1","$0","$37.88",,"BC","Totally affordable 2 bedroom manufactured home in Park Drive Estates. Master bedroom has walk-in closet and 3 piece ensuite which includes a walk-in shower. Open concept living room and kitchen and second bedroom and laundry are at the front. This is a great place to call home in a nice quiet park.","Foundation is cribbing.","BC Northern","For Sale",,"4/21/2018","$35,000","$37.88","0.88","0.88","4/25/2018",,,,,"Leasehold not prepaid-NonStrata","2",,,,,,"MHP"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262281212/0/120/90/e48c952b21986cc7b82e94eda199271f/13/fac0862ab931b0a9febef94107240dd1/262281212.JPG","R2259585","Residential Detached","S","5 5378 PARK DRIVE","103 Mile House","$40,000","2","2","1969","0.00","MANUF","1",,,,,,"6/29/2018","49",,,"250-706-7955","2016","100 Mile House (Zone 10)",,,"0","2",,,"COSMAN",,,,"103 Mile House","Residential Detached",,,"PARK DRIVE ESTATES","4/22/2018","24188","2",,,"Detached",,"10/19/2018",,"0","792","DAVE","Other",,"1","$106.97","Yes",,,,,,"5/2/2018",,"4/20/2018","$42,000","0.00",,,,"1","COURTNEY BEST",,"800-121-418","2",,"V0K 2E1","$0","$50.51",,"BC","Great investment property. Fully updated within the past two years, including: siding, windows, roof, appliances, drywall and insulation, bathroom, plumbing and hot water tank. Needs nothing! Only five minutes from all the shops and services of 100 Mile House. Fenced yard. Pets allowed with Park Management approval.","Foundation is wood cribbing on concrete pads. Tenant has requested that seller (or their agent) is to be present for all showings.","BC Northern","For Sale",,"4/22/2018","$40,000","$50.51","0.95","0.95","5/2/2018",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"R-4"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262269962/0/120/90/88d98d45833d9dc4deeb6a2686239169/13/e1dae9df1b5157d6e02592344975d984/262269962.JPG","R2248335","Land Only","S","LOT 16 N BREARS ROAD","Quesnel - Town","$43,500","37",,,"0.00",,,,,,,"Road Access","5/11/2018",,,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available","SINGLETON/BURZYNSKI",,,,"Quesnel","Land",,,"SOUTHHILLS","4/20/2018",,"35","182","No",,"Nearby","9/30/2018",,,,"TERRI",,"110.00",,"$1,115.62","Yes",,,"Yes",,,"5/2/2018",,"3/14/2018","$49,900","0.50",,"Nearby",,,"JULIANA FERRARA",,"008-965-901",,"House/Single Family","V2J 4Y3","$0",,"No","BC","Beautiful Southhills lot. Perched on a corner is this spacious 0.506/acre lot with full city services. Many trees will provide great privacy for this no-thru road location. Not many lots still available in Southhills, so this is a rare find. Buy your lot today and start choosing house plans tomorrow be moved before years end.","5854","BC Northern","For Sale","Nearby","4/20/2018","$43,500",,"0.87","0.87","5/2/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"CR 1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273595/0/120/90/c2ce35582dea22286abde9165f624d87/13/12a743a9732013bcb0cd1c4ec0f65025/262273595.JPG","R2251968","Residential Detached","S","478 KODIAK STREET","Bear Lake","$45,000","26","3","1965","15,000.00","HOUSE","1",,,,,,"5/31/2018","53",,,"250-981-8013",,"PG Rural North (Zone 76)",,,"1","2",,,"SAUNDERS",,,,"Bear Lake","Residential Detached",,,,"4/24/2018",,"26","0",,"Detached",,"12/30/2018",,"1","1,325","LYNNEA","Concrete Perimeter","0.00","1","$568.47","Yes",,,,,,"5/2/2018",,"3/29/2018","$49,900","0.34",,,,"2","TERRY EDWARDS",,"012-595-900",,,"V0J 3G0","$0","$33.96",,"BC","Very affordable living! Located in the town of Bear Lake, approx. 45 minutes to Prince George centre. Needs some work but could be a cozy little home! 2 bedrooms up and 1 down. Nice big lot, carport, large shed. A great place to live if you like outdoor activities or work at the mill.","Measurements are approximate.","BC Northern","For Sale",,"4/24/2018","$45,000","$33.96","0.90","0.90","5/2/2018",,,,,"Freehold NonStrata","1",,,,,,"R1"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262268199/0/120/90/eb730a3947549651531517df00f08f2b/13/8db619800ca23491c22ec18570e6f2ce/262268199.JPG","R2246572","Residential Detached","S","LTS 28& 29 A ROAD","Canim/Mahood Lake","$48,000","45","0","9999","0.00","RECRE","0",,,,,,"5/3/2018","999",,,"250-395-3424",,"100 Mile House (Zone 10)",,,"0","0",,,"DELISLE",,,,"Canim Lake","Residential Detached",,,,"4/24/2018",,"43","0",,"Detached",,"11/30/2018",,"0","100","MEL, ADAM OR SEAN","None","0.00","0","$338.57","Yes",,,,,,"4/25/2018",,"3/10/2018","$49,900","0.34",,,,"1","SHARON HOLLER",,"012-159-549",,,"V0K 1N0","$0","$480.00",,"BC","Come and enjoy the immaculate views of historic Hendrix Lake from your 2 side by side lots.  Bring your toys and take advantage of the Kustom Koach trailer and cozy A-frame bunk house. Property is ready to go with seasonal lake water system, composting toilet and power. A must see! L#8771","Please verify measurements if important. Taxes and lot size are total of both lots. Additional PID#012-159-565. Lake water seasonal water system. Composting toilet in shed behind trailer. Kustom Koach trailer included. ","BC Northern","For Sale",,"4/24/2018","$48,000","$480.00","0.96","0.96","4/25/2018",,,,,"Freehold NonStrata","1",,,,,,"R1"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262281054/0/120/90/0d4d2fe25294c302c173edd20ed852ef/13/592eda8dd38102347f010c5ca26fc554/262281054.JPG","R2259427","Land Only","S","LOT 4 GUEST ROAD","Cluculz Lake","$50,000","5",,,"0.00",,,,,,,"Road Access","5/10/2018",,,,"250-614-6766",,"PG Rural West (Zone 77)",,,,,"No","Not Available","CHALMERS",,,,"Cluculz Lake","Land",,,,"4/24/2018",,"4","0","No",,"Nearby","4/19/2019",,,,"CARRIE",,"0.00",,"$635.29","Yes",,,"No",,,"4/26/2018",,"4/19/2018","$59,900","0.58",,"Not Available",,,"VERN BROWN / MARILYN BROWN",,"010-992-634",,,"V0J 3A3","$0",,"No","BC","Lakefront lot on beautiful Cluculz Lake. Park your RV or build your dream home.",,"BC Northern","For Sale","None","4/24/2018","$50,000",,"0.83","0.83","4/26/2018",,,"None",,"Freehold NonStrata",,"No",,,"None",,"R4"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203890/0/120/90/5ec6a46e30e1089ff6957fc9142a67a8/13/f1447289fc13672ab916e64681552379/262203890.JPG","R2182263","Residential Attached","S","44 11 SELWYN DRIVE","Mackenzie -Town","$55,000","344","3","1967","0.00","TWNHS","1",,,,,,"5/15/2018","51",,,"250-997-6773",,"Mackenzie (Zone 69)",,,"0","3",,,"GOETS",,,,"Mackenzie","Residential Attached",,,,"4/24/2018",,"287","0",,"Attached",,"9/1/2018",,"1","1,419","LOUISE SKAVLEBO","Concrete Perimeter","0.00","1","$1,053.82","Yes",,,,,,"5/3/2018",,"5/1/2017","$59,900","0.00",,,,"3","WENDY KEEFE",,"023-297-743","1",,"V0J 2C0","$64,900","$38.76",,"BC","3 bedroom strata townhouse within walking distance of shopping, recreation center and high school. Perfect for children, this unit backs onto a park and field. The updates include some windows, laminate flooring and newer dishwasher, washer and dryer. The main floor has a 2 pc powder room, eat in kitchen and living room. Upstairs has a 4 pc bathroom and 3 bedrooms. The basement has laundry facilities, storage and is waiting for your personal touches! One parking stall and all appliances included. Electric fireplace included. Quick possession available!","All measurements are approximate and buyer to verify if deemed important.","BC Northern","For Sale",,"4/24/2018","$55,000","$38.76","0.80","0.92","5/3/2018",,"2",,"$254.16","Freehold Strata","2",,,,,,"RM2"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262279056/0/120/90/fcd7cbc3dbd76b9cc7a474356d1b3c2f/13/b8d874ee8308a9715466f20fb62fedd1/262279056.JPG","R2257429","Residential Detached","S","90 560 W SODA CREEK ROAD","Williams Lake - Rural North","$65,000","7","2","1995","0.00","MANUF","1",,,,,,"5/17/2018","23",,,"250-392-2670",,"Williams Lake (Zone 27)",,,"0","2",,,"BREWER/LARSON",,,,"Williams Lake","Residential Detached",,,"COMER HILL MOBILE HOME PARK","4/23/2018","467402 E#458855","7",,,"Detached",,"6/30/2018",,"0","924","HENRY","Other",,"2","$434.60","Yes",,,,,,"5/14/2018",,"4/16/2018","$69,900","0.00",,,,"1","LAURANCE DEGROOT/DIANNE HALES",,"800-121-273","2",,"V2G 5E7","$0","$70.35",,"BC","Let the Sun Shine in this 2x6 wall 1995 14x66 Dartmouth mobile with small addition on top tier of Comer Hill Mobile Home Park. 2 bedrooms, one on either end along with 2 full size bathrooms, master bedroom has walk in closet, central open floor plan with kitchen and living room area. Fabulous views south to hills over Williams Creek and access to trails close by. Easy Possession with Park Approval.","Vacant unit in good condition, easy possession. Foundation is blocking.","BC Northern","For Sale",,"4/23/2018","$65,000","$70.35","0.93","0.93","5/14/2018",,,,,"Leasehold not prepaid-NonStrata","2",,,,,,"R1"
