"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264436/0/120/90/0ce58a05a931a5d8be1922dcc9851f74/13/5effb0696047c30a40b17a38f478edd3/262264436.JPG","R2242809","Land Only","S","209 W 7TH AVENUE","Prince Rupert - City","$19,500","131",,,"0.00",,,,,,,"Allowed Access","8/23/2018",,,,"250-600-2334",,"Prince Rupert (Zone 52)",,,,,"No","Not Available","WALSH",,,,"Prince Rupert","Land",,,,"7/6/2018",,"130","100","No",,"At Lot Line","12/31/2018",,,,"NADIA MOVOLD",,"25.00",,"$237.92","Yes",,,"Yes",,,"7/18/2018",,"2/25/2018","$39,000","0.00",,"At Lot Line",,,"BERNARD MONCKTON-MILNES",,"014-624-958",,"House/Single Family","V8J 2C3","$0",,"No","BC","25x100 ft lot available to build your home. Private setting, up top a bluff, surrounded by trees, dead end street and close to all amenities. All services available by lot line.",,"BC Northern","For Sale","At Lot Line","7/6/2018","$19,500",,"0.50","0.50","7/18/2018",,,"At Lot Line",,"Freehold NonStrata",,"Yes",,,"City/Municipal",,"R2"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262294977/0/120/90/1645e83d67bc00938a9bd61de95edb75/13/1ad8d5248cd9f93817ebafd032fe32e8/262294977.JPG","R2273350","Land Only","S","Lot 4 KOKANEE ROAD","Canim/Mahood Lake","$25,000","41",,,"36,154.80",,,,,,,"Road Access","7/23/2018",,,,"250-706-1186",,"100 Mile House (Zone 10)",,,,,"No","Not Available","WILLIAMS",,,,"Canim Lake","Land",,,"Canim Lake Estates","7/6/2018",,"38","0","No",,"Available","10/31/2018",,,,"Gisela",,"0.00",,"$316.69","Yes",,,"Yes","WILLIAMS LAKE RURAL",,"7/13/2018",,"5/26/2018","$30,000","0.83","Williams Lake Rural","Not Available",,,"MICHAEL  RICKETTS / SUSAN RICKETTS (POA)",,"007-143-265",,"House/Single Family","V0K 1J0","$0","$0.69","No","BC","Nice 0.83 acre building lot with approx. 120 ft of frontage on Kokanee Road in the Canim Lake Estates. Municipal water, hydro and phone at the road. This could be the right place to settle down and enjoy the beauty of the Canim Lake area. Within short distanc to lake access road and mile of trails to explore.",,"BC Northern","For Sale","None","7/6/2018","$25,000","$0.69","0.83","0.83","7/13/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251616/0/120/90/2bb7f4c52f843c9e77274247e5545712/13/2feb33a218af1926b24ea59731a5bffe/262251616.JPG","R2229989","Land Only","X","540 ELM STREET","Fort St. James - Town","$32,000","182",,,"0.00",,,,,,,"Water Access",,,,,"250-996-1272",,"Fort St. James (Zone 57)",,,,,"No","Not Available",,,,,"Fort St. James","Land",,,,,,,"100","No",,"Available","7/3/2018",,,,"MORGAN",,"50.00",,"$486.05","Yes",,,"No",,,"7/4/2018",,"1/3/2018","$32,000","0.14",,"At Lot Line",,,"CORY WILSON/MELISSA WILSON",,"008-423-903",,"House/Single Family","V0J 1P0","$0",,"No","BC","Fantastic location near local schools, recreation, shopping, and a short walk to the beach!","1975 Vista Villa 12x68, MH Exempt, Serial #3677 is currently on property. Power has been disconnected. Uninhabitable. The mobile home will need to have the power re-connected with a BC Electric inspection prior to occupancy.","BC Northern","For Sale","Available",,,,,,"7/4/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R3"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262291615/0/120/90/27af44f4716731c86d247f3f919b635d/13/f199ef085fbd60882649edcf25105eb3/262291615.JPG","R2269988","Residential Detached","S","13 3001 N MACKENZIE AVENUE","Williams Lake - City","$34,000","49","4","1974","0.00","MANUF","1",,,,,,"7/23/2018","44",,,"250-305-8725",,"Williams Lake (Zone 27)",,,"0","4",,,"STUBITCH",,,,"Williams Lake","Residential Detached",,,"GREEN ACRES MHP","7/5/2018","271881","48",,,"Detached",,"8/31/2018",,"1","971","DANA LYNN","Preserved Wood",,"1","$215.65","Yes",,,,,,"7/10/2018",,"5/17/2018","$39,900","0.00",,,,"1","GLENN HANSON",,"800-121-982",,,"V2G 2N9","$0","$35.02",,"BC","Move-in Ready! Nicely updated 4-bedroom mobile. Newer furnace and new flooring throughout! Brand new front deck which leads into the large addition, heated with a newer pellet stove. Nicely kept, super clean home which offers a spacious kitchen and lots of natural light. Beautiful newly fenced yard--kids' playground set and storage shed stays!! Must be seen to be appreciated. Why rent when you can own?!","Foundation is cribbing on cement blocks.","BC Northern","For Sale",,"7/5/2018","$34,000","$35.02","0.85","0.85","7/10/2018",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308784/0/120/90/4dceedc553d8754285850dfc03ae3a2b/13/6468c9a2a0bacc45037981d3ccff2a1d/262308784.JPG","R2287157","Residential Detached","S","223 5130 NORTH NECHAKO ROAD","Nechako Bench","$35,000","0","2","1977","0.00","MANUF","1",,,,,,"8/16/2018","41",,,"250-563-1000",,"PG City North (Zone 73)",,,"0","2",,,"MCMILLEN",,,,"Prince George","Residential Detached",,,,"7/5/2018","306498","0","0",,"Detached",,"10/4/2018",,"1","980","KRISTINE NEWELL","Other","0.00","1","$306.13","Yes",,,,,,"7/13/2018",,"7/5/2018","$40,000","0.00",,,,"1","ANGELA PROULX/KEATON GOULET",,"800-123-093",,,"V2K 4W3","$0","$35.71",,"BC","Cute 2 bed 2 bath mobile in park","Foundation is pillars - accepted offer.","BC Northern","For Sale",,"7/5/2018","$35,000","$35.71","0.88","0.88","7/13/2018",,,,,"Leasehold not prepaid-NonStrata","2",,,,,,"RM9"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307623/0/120/90/da8440df3c2215fcf33523e4113723da/13/96840c2612a38299871eef0422c0b09c/262307623.JPG","R2285996","Land Only","S","LOT 11 NOVAK STREET","Quesnel - Town","$44,000","2",,,"6,200.00",,,,,,,"Allowed Access","7/20/2018",,,,"250-983-3251",,"Quesnel (Zone 28)",,,,,"No","Not Available","WALSH",,,,"Quesnel","Land",,,"CARSON SUB","7/6/2018",,"2","0","No",,"Nearby","10/4/2018",,,,"JASPER CROY",,"0.00",,"$540.98","Yes",,,"Yes",,,"7/11/2018",,"7/4/2018","$44,900","0.14",,"Nearby",,,"WESLEY WIEBE/MARGARET WIEBE",,"027-127-079",,"House/Single Family","V2J 6P6","$0","$7.10","No","BC","Ready, set, build!  Can't find the home you want?  It might be time to consider building that custom home you've always dreamed about.  This 6200 sq. ft. lot is very flat and useable, has full city services and is walking distance to all amenities.  Not many fully serviced lots in BC available at this price, so act fast!","5996","BC Northern","For Sale","Nearby","7/6/2018","$44,000","$7.10","0.98","0.98","7/11/2018",,,"Nearby",,"Freehold NonStrata",,"No",,,"City/Municipal",,"RS1"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262291503/0/120/90/9316650bf6ce9c586580ce9eb719f2b3/14/8690095fe1e634543b949e5c8442174a/262291503.JPG","R2269876","Residential Detached","T","10 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$49,900","53","3","1997","0.00","MANUF","1",,,,,,,"21",,,"604-869-2945",,"Hope",,,"0","3",,,,,"6/21/2018",,"Hope","Residential Detached",,,"CRYSTAL RIVER COURT",,"437088",,,,"Detached",,"7/9/2018",,"0","1,060","JOHN","Other",,"1","$432.00","Yes",,,,,,"7/9/2018",,"5/17/2018","$49,900","0.00",,,,"1","NORMAN LAWLOR",,"700-003-293","2",,"V0X 1L1","$0","$47.08",,"BC","3 bedroom home built in 1997. Central location, near Kawkawa Lake and Suckers Creek. This is a great deal! 1 year old roof, vinyl windows, 2 new porches and 2 full bathrooms. 3 piece ensuite off of the master bedroom.","***TERMINATED JUNE 21/18*** Buyer to verify measurements if deemed important. Park approval required.","Chilliwack","For Sale",,,,,,,"7/9/2018",,,,,"Leasehold not prepaid-NonStrata","2",,,,,,"MHP"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262280057/0/120/90/015018f3fd70fb8f855861d5c33c97bc/14/179fff3b876455b8303759680c261201/262280057.JPG","R2258430","Residential Detached","S","BLK A SCUM LAKE","Williams Lake - Rural West","$55,000","80","0","9999","0.00","HACR","0",,,,,,"8/14/2018","999",,,"604-491-1060",,"Williams Lake (Zone 27)",,,"0","0",,,"MARSTON",,,,"Williams Lake","Residential Detached",,,,"7/6/2018",,"79","0",,"Detached",,"1/31/2019",,"1","900","FREDDY OR LINDA","Other","0.00","0","$1,034.00","Yes",,,,,"2027","7/16/2018",,"4/17/2018","$59,900","4.50",,,,"1","LORNE EASTMAN/LORNA FIDO",,"800-121-316",,,"V2G 5K7","$69,000","$61.11",,"BC","This is your opportunity to buy a Cabin for possible year around use on Scum Lake. Located on 4.5 acres, the two-bedroom cabin is self-contained and offers all amenities for living the dream. The land is a Crown lease and very affordable. Just renewed for another 10 years. Several outbuildings for storage and hobby are in place. Solar power, with a 5000 watt Honda generator for back up, a wood and propane stoves are taking care of the amenities in the wilderness. Great Views over Scum Lake and the nearby Coast Mountains and a very sunny location will make you enjoy the rural lifestyle of the Chilcotin.",,"BC Northern","For Sale",,"7/6/2018","$55,000","$61.11","0.80","0.92","7/16/2018",,,,,"Leasehold prepaid-NonStrata","0",,,,,,"RR3"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262696/0/120/90/6ea0526cfc5955336b9fdbb155a5bd85/13/bd5f2886feed52c888caefb031c5f986/262262696.JPG","R2241069","Land Only","S","LOT 62 BLOCK DRIVE","108 Ranch","$55,000","139",,,"0.00",,,,,,,"Road Access","8/2/2018",,,,"250-706-1186",,"100 Mile House (Zone 10)",,,,,"No","Not Available","HOSKINS",,,,"108 Mile Ranch","Land",,,"108 MILE RANCH","7/6/2018",,"137","0","No",,"Available","8/17/2018",,,,"GISELA",,"0.00",,"$524.05","Yes",,,"Yes",,,"7/19/2018",,"2/17/2018","$59,900","0.96",,"Available",,,"LAUREL PEARCE",,"007-952-244",,"House/Single Family","V0K 2Z0","$0",,"Yes - Agricultural Land Reserve","BC","0.96/acre property, with southern exposure, on a quiet street in 108 Mile Ranch. Elevated lot has a very nice, level building site and offers lots of privacy. Within walking distance of beautiful Walker Valley, this would be a beautiful lot to develop. All the recreational amenities the Cariboo has to offer are at your doorstep. What are you waiting for...?","A664 Block Drive","BC Northern","For Sale","None","7/6/2018","$55,000",,"0.92","0.92","7/18/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R1-1"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305237/0/120/90/c303f557003fab24952976e685932d38/13/5851635fc91783bf0119a79f21fb3d04/262305237.JPG","R2283610","Residential Detached","S","3 770 11TH AVENUE","Williams Lake - City","$57,500","11","2","1975","0.00","MANUF","1",,,,,,"7/31/2018","43",,,"250-267-4248",,"Williams Lake (Zone 27)",,,"0","2",,,"STEIN",,,,"Williams Lake","Residential Detached",,,"FRAN LEE MH PARK","7/6/2018","EL#373186-2016","10","0",,"Detached",,"12/31/2018",,"0","900","LINDA","Other","0.00","1","$175.50","Yes",,,,,,"7/12/2018",,"6/25/2018","$62,500","0.00",,,,"1","GINA YOUNG",,"800-122-860","2",,"V2G 2M4","$0","$63.89",,"BC","A little piece of privacy in your own little paradise.  Lovely home with an impressive list of updates including a new roof, insulated siding, windows, doors, flooring, paint, and an amazingly private deck.  this deck is oozing with ambience while still offering comfort.  Natural gas BBQ hookup, 100 amp service for your future hot tub.  Fran Lee Mobile Home Park is considered a good park in a nice area.  Pad rent is presently $340.00.  This little affordable home may have your name all over it.","Foundation is concrete pads with wood blocks","BC Northern","For Sale",,"7/6/2018","$57,500","$63.89","0.92","0.92","7/12/2018",,,,,"Freehold NonStrata","1",,,,,,"MHP"
