"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262109309/0/120/90/97fe6f4bc2416b22513f865b363cc607/13/ad6eaed6829bde837ca801d2668af7eb/262109309.JPG","R2087682","Land Only","X","LT 12- 16 E 8TH AVENUE","Hazelton","$18,000","729",,,"0.00",,,,,,,"Road Access",,,,,"250-842-8176",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,,,,"New Hazelton","Land",,,,,,,"120","No",,"Nearby","6/27/2018",,,,"KELLY MATTSON",,"165.00",,"$315.00","Yes",,,"Yes",,,"6/28/2018",,"6/29/2016","$18,000","0.00",,"Not Available",,,"GLYN WOOKEY",,"011-565-772",,"House/Single Family","V0J 2J0","$0",,"No","BC","Build now or hold for the future. Five lots (165 x 120 ft) in quiet secluded urban neighbourhood area of New Hazelton. Zoned R-1 residential with hydro, telephone, municipal sewer and water nearby. Walking distance to all amenities including grocery store, recreation, banking, hiking trails, post office and Allen Park.","Land was cleared several years ago and now bush/brush growing. Additional PID#s 011-565-764, 011-565-799, 011-565-811, 011-565-845.","BC Northern","For Sale","Nearby",,,,,,"6/28/2018",,,"Nearby",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R-1"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263799/0/120/90/36278c8aff43a06156a111f456979055/13/6eaa78df4cd810ab68bcf907aedcf707/262263799.JPG","R2242172","Land Only","X","781 TWAN PLACE","Quesnel - Town","$19,900","131",,,"0.00",,,,,,,"Road Access",,,,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,,,,"Quesnel","Land",,,,,,,"162","Yes",,"Nearby","6/30/2018",,,,"TERRI",,"66.00",,"$380.93","Yes",,,"Yes",,,"7/1/2018",,"2/20/2018","$19,900","0.25",,"Nearby",,,"WILLIAM STEINKE",,"018-928-871",,"House/Single Family","V2J 7H4","$23,000",,"No","BC","City lot bordering Baker Creek. Enjoy the view of the creek once you've built your home on this city-serviced 0.254 acre lot. Close to town but on a quiet cul-de-sac. Has the feel of the country and nature all around","5838                                                                                                            City of Quesnel requires development permit and geotechnical study to obtain building permit. All offers are subject to trustee approval","BC Northern","For Sale","Nearby",,,,,,"7/1/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"RS1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262254347/0/120/90/cc7beacda3cf11b22415517ba2d6f9df/13/404e3c1612ddece9270f14bb42af0d8c/262254347.JPG","R2232720","Land Only","X","LOT 35 RODDIE AVENUE","Quesnel - Town","$21,500","167",,,"6,000.00",,,,,,,"Road Access",,,,,,,"Quesnel (Zone 28)",,,,,"No","Not Available",,,,,"Quesnel","Land",,,,,,,"120","No",,"Available","6/30/2018",,,,,,"50.00",,"$283.98","Yes",,,"Yes",,,"7/1/2018",,"1/15/2018","$21,500","0.14",,"Available",,,"ALEX MANDAP",,"011-448-024",,"Duplex","V2J 1B2","$23,500","$3.58","No","BC","Nice level building lot that will allow a duplex or single family dwelling. Close to schools and shopping. Full city services available. Affordably priced!",,"BC Northern","For Sale","Available",,,,,,"7/1/2018",,,"Available",,"Freehold NonStrata",,"No",,,"City/Municipal",,"RS2"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262214694/0/120/90/12e182acac1007ec1703bbedbb3555a6/13/d103acacf16b51c324b4044b8ba693f6/262214694.JPG","R2193067","Land Only","X","LOT 10 COLGROVE ROAD","Hixon","$27,500","337",,,"0.00",,,,,,,"Road Access",,,,,"250-613-8777",,"PG Rural South (Zone 78)",,,,,"No","Not Available",,,,,"Hixon","Land",,,,,,,"0","No",,"At Lot Line","6/27/2018",,,,"ROLF",,"0.00",,"$70.07","Yes",,,"Yes",,,"6/28/2018",,"7/26/2017","$27,500","0.52",,"Nearby",,,"JASON SHERWOOD / DANEA SHERWOOD",,"013-783-491",,"Other","V0K 1S0","$0",,,"BC","Beautiful well-priced recreational property within the village of Hixon.","There may be building restrictions. The subject property is next to a park area which both abound Naver Creek. Therefore at a very affordable price one has access to extensive waterfront.","BC Northern","For Sale","None",,,,,,"6/28/2018",,,"None",,"Freehold NonStrata",,"No",,,"Other",,"N/A"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262210451/0/120/90/c6e5761e08a0deab53eed7bd5a3f1c0a/13/9c1aeddad39017d8bfdf0c2b441dbdda/262210451.JPG","R2188824","Land Only","X","LOT 1 MANSON CREEK ROAD","Fort St. James - Rural","$38,000","352",,,"0.00",,,,,,,"Allowed Access",,,,,"250-996-8618",,"Fort St. James (Zone 57)",,,,,"No","Not Available",,,,,"Fort St. James","Land",,,,,,,"0.00","No",,"Available","6/30/2018",,,,"EVELYN",,"0.00",,"$369.59","Yes",,,"Yes",,,"7/1/2018",,"7/14/2017","$38,000","5.00",,"Available",,,"RONALD RUSSELL",,"004-367-898",,"House/Single Family","V0J 1P0","$45,000",,"No","BC","The perfect location to build your dream home in this partially cleared lot with direct access to Highway 27 North. Only minutes to town in a subdivision of similar properties.",,"BC Northern","For Sale","None",,,,,,"7/1/2018",,,"None",,"Freehold NonStrata",,"No",,,"None",,"H1"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305280/0/120/90/cd511ae4bb950912863a3cda810f796b/13/b1c081b7520db99b3dd9a23004e4e028/262305280.JPG","R2283653","Land Only","S","Lot 62 DAVIS ROAD","108 Ranch","$38,000","3",,,"29,185.20",,,,,,,"Road Access","7/25/2018",,,,"250-706-1186",,"100 Mile House (Zone 10)",,,,,"No","Not Available","DENNIS SMITH",,,,"108 Mile Ranch","Land",,,"108 Mile Ranch","6/28/2018",,"2",,"No",,"Available","12/25/2018",,,,"Gisela Janzen",,,,"$496.42","Yes",,,"Yes","WILLIAMS LAKE RURAL",,"7/12/2018",,"6/25/2018","$39,900","0.67","Williams Lake Rural","Available",,,"GEORGE GOUGH & LINDA GOUGH",,"007-958-455",,"House/Single Family","V0K 2Z0","$0","$1.30","No","BC","Level 0.62 acre corner lot located on Davis & Kitwanga Drive in 108 Mile Ranch. Lot is treed and has a nice building site waiting to be developed. Services are at the road. Within walking distance to the 108 Mile trail system and the lake. 108 Mile Ranch offers great amenities and services for a Cariboo lifestyle.",,"BC Northern","For Sale","None","6/28/2018","$38,000","$1.30","0.95","0.95","7/12/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R1-1"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262296220/0/120/90/943cd16245c599243537f9448dd3e38b/13/01e586310bc3d2272ad8fd175dfdfcfc/262296220.JPG","R2274593","Residential Detached","S","4 2725 DUBOIS ROAD","Williams Lake - Rural North","$43,000","29","2","1971","0.00","MANUF","1",,,,,,"7/16/2018","47",,,"250-392-0371",,"Williams Lake (Zone 27)",,,"0","2",,,"VAN TAMELEN",,,,"Williams Lake","Residential Detached",,,,"6/29/2018","33767","29","0",,"Detached",,"11/30/2018",,"1","930","Tanya Rankin","Preserved Wood","0.00","1","$245.73","Yes",,,,"WILLIAMS LAKE RURAL",,"7/4/2018",,"5/31/2018","$48,000","0.00","Williams Lake",,,"1","JAZMYN DOUILLARD",,"800-122-269",,,"V2G 4X2","$0","$46.24",,"BC","Adorable, & affordable with tones of natural sunshine & awesome easy proximity to Gibraltar bus pick up yet a quick easy 5-8 minutes to town! This 2 bedroom, deluxe bathroom home has been renovated top to bottom including all interior dry wall (no paneling). You'll love the new pellet stove (RL7 installation 2017) ideal for extra heat & efficiency! Excellent water filtration system new 2017 by Air and Water. Renovated 2009 with most windows (1 kitchen is original), hot water tank, baseboards, siding, Wonderful large private pad with good storage shed, in well maintained Quiet park $270/month pad rent. Come check it out!","** Addition has a pellet stove which is also used to heat trailer.","BC Northern","For Sale",,"6/29/2018","$43,000","$46.24","0.90","0.90","7/4/2018",,,,,"Other","1",,,,,,"MHP"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260072/0/120/90/d6c6d8077a9bb9379122ec18952d098e/13/9a27391e4062ff991473c39b36d1cefa/262260072.JPG","R2238445","Residential Detached","S","69 95 LAIDLAW ROAD","Smithers - Rural","$45,000","144","2","1981","0.00","MANUF","1",,,,,,"7/20/2018","37",,,"778-210-0227",,"Smithers And Area (Zone 54)",,,"0","2",,,"HUNT",,,,"Smithers","Residential Detached",,,,"7/1/2018","154706","143",,,"Detached",,"8/7/2018",,"0","820","JENNIFER SHARP","Concrete Block",,"1","$306.91","Yes",,,,,,"7/11/2018",,"2/7/2018","$49,900","0.00",,,,"1","JARED FORD",,"800-119-505","2",,"V0J 2N6","$54,900","$54.88",,"BC","This affordable, 2 bedroom, 1 bath mobile home features, newer windows, new furnace, updated bathroom, and large fully fenced backyard with storage shed. Situated on the last row with minimal traffic in the Mountain View Trailer Park. Great for first time home buyers, or those looking to retire.","Element in the stove is burnt out. Seller is going to replace the stove. Hydro Approx. $83/Month. Lockbox","BC Northern","For Sale",,"7/1/2018","$45,000","$54.88","0.69","0.90","7/11/2018",,,,,"Freehold NonStrata","1",,,,,,"MHP"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261829261/0/120/90/ae2c939b7f0673d165a52315156ff516/13/600312b79dd5aa892f657c296b76edd8/261829261.JPG","N246172","Land Only","X","LOT 56 W MEIER ROAD","Cluculz Lake","$54,900","1100",,,"0.00",,,,,,,"No Access",,,,,"250-565-4668",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,,,,"Prince George","Land",,,,,,,,"No",,"At Lot Line","6/30/2018",,,,"HELEN LECKIE",,"0.00",,"$200.76","Yes",,,"Yes","VANDERHOOF RURAL",,"7/1/2018",,"6/16/2015","$54,900","10.44","Vanderhoof Rural","Not Available",,,"ROBERT SELBY/DAYNA SELBY",,"006-740-146",,"House/Single Family","V0J 3A3",,,"No","BC","Looking for fresh air and tranquility? Treed, and you can choose your building site. Not in archeaological site according to Regional District of Bulkley Nechako. Lot size according to BC Assessment.","Buyer's brokerage commission as stated if buyer's agent physically present for first viewing, otherwise $500.00.","BC Northern","For Sale","None",,,,,,"7/1/2018",,,"None",,"Freehold NonStrata",,"No",,,"None","Yes","H1"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262268435/0/120/90/0b4dff4e474c750fe1e4245e4f5e9780/13/28d45a4450f22b538c2b429415c38096/262268435.JPG","R2246808","Residential Detached","S","84 6100 O'GRADY ROAD","Upper College","$55,000","113","3","1977","0.00","MANUF","1",,,,,,"7/31/2018","41",,,"250-981-1902",,"PG City South (Zone 74)",,,"0","3",,,"FORREST",,,,"Prince George","Residential Detached",,,"COLLEGE HEIGHTS RESIDENTIAL PARK","6/30/2018","400149","110",,,"Detached",,"7/31/2018",,"0","924","ELLEN","Other",,"1","$618.75","Yes",,,,,,"7/16/2018",,"3/9/2018","$59,900","0.00",,,,"1","HAYDN YEOMANS",,"800-120-279","2",,"V2N 4R1","$61,900","$59.52",,"BC","This cute mobile home is looking for new owners who will love it as much as current owners.  Spotlessly clean, totally updated - gyproc walls, crown moulding, new kitchen with island & pantry, new bathroom, floors, lights and windows.  Even the waterlines under home were re done.  Two bedrooms and a den - move in ready!","Some notice required--two dogs to remove. Also two cats--please do not let them outside Seller needs possession to be mid to end of April. Foundation is wood cribbing.  BC Hydro epp approx. $56.00 and Fortis epp approx $52.00","BC Northern","For Sale",,"6/30/2018","$55,000","$59.52","0.89","0.92","7/16/2018",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
