"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262282832/0/120/90/853d4060e201c61548d2e38b78b2d248/13/eb67ec1977326d1904e0761f79408688/262282832.JPG","R2261205","Land Only","S","LT 10 - 12 13TH AVENUE","Hazelton","$11,500","30",,,"11,880.00",,,,,,,"Road Access","6/28/2018",,,,"250-847-1292",,"Smithers And Area (Zone 54)",,,,,"No","Mandatory","LUBBERS CREW CONSTRUCTION LTD",,,,"New Hazelton","Land",,,,"5/25/2018",,"30","120","No",,"At Lot Line","4/25/2019",,,,"LEO LUBBERS",,"99.00",,"$179.82","Yes",,,"Yes",,,"5/28/2018",,"4/25/2018","$12,500","0.27",,"Not Available",,,"CRAIG MCCLEAN",,"016-850-068",,"House/Single Family","V0J 2J0","$0","$0.97","No","BC","Prime residential lots in New Hazelton. 99'x120' partially cleared with some fruit trees planted. Private dead end street location backing onto undeveloped forest. Paved street, water hydro, sewer, and telephone at the property line. Priced to sell!","Additional PID#s 016-850-041 & 016-850-050","BC Northern","For Sale","At Lot Line","5/25/2018","$11,500","$0.97","0.92","0.92","5/28/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R-1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262240931/0/120/90/81bfc86afc5ec7e0b6cacc8eca0883bd/14/5ba7763a74343760e90c6f4a16b8a584/262240931.JPG","R2219304","Residential Detached","S","40 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$14,000","202","2","1975","0.00","MANUF","1",,,,,,"6/14/2018","43",,,"604-860-9042",,"Hope",,,"0","2",,,"ARNALDI & MORSE",,,,"Hope","Residential Detached",,,"CRYSTAL RIVER COURT","5/22/2018","273640","201",,,"Detached",,"8/31/2018",,"0","1,136","LINDA MOSSER","Other",,"1","$237.74","Yes",,,,,,"6/6/2018",,"11/1/2017","$19,000","0.00",,,,"1","DIANE RUDGE",,"765-367-144","2",,"V0X 1L1","$25,000","$12.32",,"BC","Charming and spacious mobile home in desirable park. Bright and beautiful 2 bedroom w/lg family room. Features addition and updates. Well cared for and maintained. Lovely landscaped yard and spacious deck for entertainment & enjoyment. Desirable location close to all amenities, town, shopping, restaurants, recreation, golf, ski hill, lakes and schools. 1 pet with restrictions, no rentals permitted, no age restrictions.","All measurements are approx. Buyer to verify if deemed important. Subject to Tenancy approval and Tenant approval of Rules and Regulations. Park requires some improvements. Sold As is/Where is as Client has health issues and physically and financially cannot do anything further. Needs a new roof.","Chilliwack","For Sale",,"5/22/2018","$14,000","$12.32","0.24","0.74","6/4/2018",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262286664/0/120/90/efeed0ff44914272e8e61f836882bc46/14/f08ba4f164d9fc5b209fb55ea6e1fa24/262286664.JPG","R2265037","Residential Detached","S","9D 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$17,000","22","2","1976","0.00","MANUF","1",,,,,,"6/15/2018","42",,,"604-798-1166",,"Hope",,,"0","2",,,"CISAK",,,,"Hope","Residential Detached",,,"CRYSTAL RIVER","5/24/2018","25239","17",,,"Detached",,"9/30/2018",,"0","860","SCOTT","Other",,"1","$132.16","Yes",,,,,,"5/29/2018",,"5/2/2018","$19,000","0.00",,,,"1","DAVID LOREE",,"700-011-191","2",,"V0X 1L3","$31,000","$19.77",,"BC","Looking to build a little sweat equity? This is the place for you! 2 bedroom, 1 bathroom mobile backing onto green space is ready for your ideas. Newer NG furnace and 50 gallon hot water tank already done. Come see what affordable living in Hope is all about.","Measurements approx. - verify if important.","Chilliwack","For Sale",,"5/24/2018","$17,000","$19.77","0.55","0.89","5/29/2018",,,,,"Freehold NonStrata","1",,,,,,"MHP"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271780/0/120/90/3787b153df70ba03cc57de6030c42d5a/13/b4cb24fcad7775ad44c87249879a254e/262271780.JPG","R2250153","Land Only","S","LOT 3 W PUNTZI AIRPORT ROAD","Williams Lake - Rural West","$21,000","64",,,"0.00",,,,,,,"Road Access","6/15/2018",,,,"250-392-2670",,"Williams Lake (Zone 27)",,,,,"No","Not Available","MCLEOD",,,,"Williams Lake","Land",,,"PUNTZI aIRPORT","5/25/2018",,"64","0","No",,"At Lot Line","8/16/2018",,,,"HENRY",,"0.00",,"$56.37","Yes",,,"Yes",,,"6/18/2018",,"3/22/2018","$24,900","1.00",,"Not Available",,,"RAYMOND HILCHEY",,"013-304-593",,"House/Single Family","V0L 1H0","$0",,"No","BC","Located near Chilanko Forks on the Bella Coola Highway. Want to live cheap with little to no restrictions(no building permits required)? Buy this bargain 1-acre vacant lot and build what you want. Some of the lowest tax in BC with recreation access to World Famous Chilcotin Wilderness offering year-round activities for those who appreciate wilderness. Close to Puntzi Lake and many other good fishing lakes, and only 2 hours from Williams Lake by paved road. It don't get much cheaper to live in your own home...!!",,"BC Northern","For Sale","None","5/25/2018","$21,000",,"0.84","0.84","6/18/2018",,,"None",,"Freehold NonStrata",,"No",,,"None",,"RS 2"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262290377/0/120/90/6f5608acec4e5cf97b207af8443c84a7/13/51f7fa99728449852fad0c41c292189f/262290377.JPG","R2268750","Residential Detached","S","24 4619 QUEENSWAY DRIVE","Thornhill","$27,000","10","2","1971","0.00","MANUF","1",,,,,,"6/15/2018","47",,,"250-635-9184",,"Terrace (Zone 88)",,,"0","2",,,"LEITE",,,,"Thornhill","Residential Detached",,,"TIMBERLAND","5/25/2018","487177","10",,,"Detached",,"10/31/2018",,"0","744","JAMES","Other",,"1","$179.67","Yes",,,,,,"6/11/2018",,"5/15/2018","$34,900","0.00",,,,"1","SHANE BURKE (ESTATE OF)",,"800-121-882","2",,"V8G 3X4","$0","$36.29",,"BC","Just starting out and looking for something affordable? Then check out this 2-bedroom mobile home, set up in Timberland Mobile Home Park. This unit has had numerous upgrades in recent years: metal roof, siding, most windows and laminate flooring.","Estate Sale--Subject to Probate.  Person in unit is not a tenant, but a caretaker. Trailer is on wood blocking.","BC Northern","For Sale",,"5/25/2018","$27,000","$36.29","0.77","0.77","6/11/2018",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262294842/0/120/90/2ddf99e069520960c476e6a31c9649ac/13/8afb26df14517a0b975f24d2a4fe4e3f/262294842.JPG","R2273215","Land Only","S","LOT 2 PINTAIL ROAD","Fort St. James - Rural","$28,000","1",,,"0.00",,,,,,,"Road Access","6/15/2018",,,,"250-996-1272",,"Fort St. James (Zone 57)",,,,,"No","Not Available","HENRY",,,,"Fort St. James","Land",,,,"5/25/2018",,"0","0","No",,"Available","11/24/2018",,,,"MORGAN DAVIS",,"0.00",,"$187.16","Yes",,,"No",,,"5/29/2018",,"5/24/2018","$32,000","11.00",,"Not Available",,,"PINCHI LAKE WILDERNESS CAMP LTD. INC NO 0237297",,"028-364-082",,"Other","V0J 1P0","$0",,"No","BC","This 11 acre parcel is located on Pintail Road, off Pinchi Lake Road. and just 22 minutes North of Fort St. James. This area is know for hiking, fishing, hunting, exploring and ATV/snowmobile trails. Hydro and telephone services are to the lot line.",,"BC Northern","For Sale","None","5/25/2018","$28,000",,"0.88","0.88","5/29/2018",,,"None",,"Freehold NonStrata",,"No",,,"None",,"N/A"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262257221/0/120/90/5e4ed74db9f5416bee4480a2ce4e6f4a/13/eb73e62b8eb5d1179195eef898ead990/262257221.JPG","R2235594","Residential Attached","S","19 FLEMING STREET","Granisle","$35,000","158","3","1972","2,418.00","TWNHS","1",,,,,,"6/15/2018","46",,,"250-692-3530","2017","Burns Lake (Zone 55)",,,"0","3",,,"BONHOMME",,,,"Granisle","Residential Attached",,,,"5/25/2018",,"115","0",,"Attached",,"12/18/2018",,"0","1,216","DENNIS BOCK","Concrete Perimeter","0.00","1","$948.53","Yes",,,,,,"6/8/2018",,"12/18/2017","$39,000","0.06",,,,"2","DALE KOTCH/LAUREL KOTCH/DAVID HOFFMAN",,"028-331-311",,,"V0J 1W0","$0","$28.78",,"BC","Inexpensive living for a full time home or a summer resort. A townhouse that has be redone in 2017 with a convenient kitchen to an open living/dining room with a patio door into the backyard. The appliances and furnishings are included in the sale.","The items not a part of the sale include: any items related to fishing: 2 fishing boxes, net, rods cannon balls, etc. Vacuum packer and bags in the house pantry, and personal items. The propane to the furnace has never been hooked up as we were only there 2 weeks in summer.","BC Northern","For Sale",,"5/25/2018","$35,000","$28.78","0.90","0.90","6/8/2018",,,,,"Freehold NonStrata","2",,,,,,"R2"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262276352/0/120/90/d9dc053fbacea430fc4891427e3fb6bb/15/1b7d85ea2449107b5996c9d3fc8cf958/262276352.JPG","R2254725","Residential Detached","T","20 32380 LOUGHEED HIGHWAY","Mission BC","$39,900","44","1","1972","0.00","MANUF","1","0",,,,,,"46",,,"604-820-0555","9999","Mission",,,"0","1",,,,,"5/20/2018",,"Mission","Residential Detached",,,"THE GROVE Mobile Home Park",,"38313",,,,"Detached",,"4/9/2019",,"0","676","Nancy Olson","Concrete Block",,"1","$300.00","Yes",,,,,,"7/19/2018",,"4/9/2018","$39,900","0.00","Mission",,,"1","Jasbir Kharia",,"905-000-935","2",,"V2V 1A4","$0","$59.02",,"BC","The Grove Mobile Home Park - 55 Plus park located in a great area close to all amenities, shopping, hospital, steps to bus stop and walking distance to all one needs. This mobile has an addition and a covered deck for that extra living space. Has newer Silver Sticker. On city water and sewer. Pad appx, 635.00. Call today!","If Measurements important please verify. Need park approval, criminal record check and credit check will be done. Call Listing Realtor. Pets allowed with restrictions. 55 Plus park.","Fraser Valley","For Sale",,,,,,,"7/19/2018",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262255860/0/120/90/527014c05cd8ef18d16e3f2fc606b488/13/e713bfb0188508e969153221a7b17007/262255860.JPG","R2234233","Land Only","T","775 PACIFIC AVENUE","Port Edward","$39,900","121",,,"4,200.00",,,,,,,"Road Access",,,,,"250-627-7551",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,,"5/14/2018",,"Port Edward","Land",,,,,,,"120","No",,"At Lot Line","5/24/2018",,,,"VICTOR",,"35.00",,"$496.78","Yes",,,"Yes",,,"5/24/2018",,"1/23/2018","$39,900","0.10",,"At Lot Line",,,"0762634 B.C. LTD. (BC0762634)",,"008-644-314",,"Duplex","V0V 1G0","$0","$9.50","No","BC","Located in Sunny Port Edward this 4200 sf building site is located just across the street from Port Edward School/Municipal Hall and Park. Great Sunny Location!",,"BC Northern","For Sale","At Lot Line",,,,,,"5/24/2018",,,"At Lot Line",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R-2"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262287702/0/120/90/faa1c165fbf5e48ed13e2027fcd5664c/13/6a2a581832cbee4e3a2dd1c0e93a65f1/262287702.JPG","R2266075","Land Only","S","LOT 24 MACKAY CRESCENT","108 Ranch","$42,500","13",,,"0.00",,,,,,,"Road Access","6/21/2018",,,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available","GRON",,,,"108 Mile Ranch","Land",,,"108 MILE RANCH","5/21/2018",,"13","0","No",,"Available","10/31/2018",,,,"BRENDA",,"0.00",,"$511.24","Yes",,,"Yes",,,"5/28/2018",,"5/8/2018","$45,000","0.56",,"Available",,,"PATRICIA HIGGINS",,"007-955-383",,"House/Single Family","V0K 2Z0","$0",,"Yes - Agricultural Land Reserve","BC","Lovely building lot with a view at the 108 Mile Ranch. On a quiet surrounded by beautiful homes. There will be a fantastic view of the 108 Mile Lake once this lot is developed. 9025",,"BC Northern","For Sale","None","5/21/2018","$42,500",,"0.94","0.94","5/28/2018",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R1-1"
