"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262227562/0/120/90/ff3a72504ba31f970e0d426cfd1e2dbd/13/32717557bc52eb2efe015738d4fa16eb/262227562.JPG","R2205935","Residential Detached","X","5627 49 STREET","Fort Nelson -Town","$36,800","92","3","1964","10,910.00","HOUSE","1",,,,,,,"53",,,"250-774-7411",,"Fort Nelson (Zone 64)",,,"0","3",,,,,,,"Fort Nelson","Residential Detached",,,,,,,"0",,"Detached",,"12/14/2017",,"0","948","SANDY OR BARB","Concrete Perimeter","0.00","1","$1,539.93","Yes",,,,,,"12/15/2017",,"9/14/2017","$36,800","0.25",,,,"1","SCOTIA MORTGAGE CORPORATION",,"004-030-923",,,"V0C 1R0","$37,800","$38.82",,"BC","Tucked Away! Next to nature is this 3-bedroom bungalow with open kitchen/living room, laminate flooring and a single detached garage. Great for a first-time buyer or an investor.","Court-ordered Sale. Subject to court approval. Signed Schedule A must accompany all offers. To be sold as is, where is.","BC Northern","For Sale",,,,,,,"12/15/2017",,,,,"Freehold NonStrata","2",,,,,,"RS1"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262246515/0/120/90/6079a0c7412331ce26eb526ec6313fe3/13/0e567ed80b17904a3601c2aa0fe78cc6/262246515.JPG","R2224888","Residential Detached","S","57 997 CHILCOTIN 20 HIGHWAY","Williams Lake - Rural West","$45,000","18","2","1990","0.00","MANUF","1",,,,,,"1/15/2018","27",,,"250-267-1088",,"Williams Lake (Zone 27)",,,"0","2",,,"HANSEN",,,,"Williams Lake","Residential Detached",,,"CHILCOTIN ESTATES","12/12/2017","459027","15",,,"Detached",,"4/30/2018",,"0","1,000","SUSAN","Other",,"1","$427.47","Yes",,,,,,"12/18/2017",,"11/24/2017","$45,900","0.00",,,,"1","HARVEY JANZEN/GENEVIEVE HILLIARD",,"800-118-070",,,"V2G 4X7","$0","$45.00",,"BC","This wonderful two-bedroom home is located in Chilcotin Estates and offers a great set up for someone looking for easy low maintenance living. Open concept living, dining, and kitchen area. Lots of upgrades throughout.","Foundation wood blocks.","BC Northern","For Sale",,"12/12/2017","$45,000","$45.00","0.98","0.98","12/18/2017",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132803/0/120/90/664a6fd2ba18d49facd46299ff375184/13/8788c7e8f4731e784ca465465de2e9ac/262132803.JPG","R2111176","Land Only","S","LOT 244 LUDLOM ROAD","Deka/Sulphurous/Hathaway Lakes","$45,000","448",,,"0.00",,,,,,,"Road Access","1/15/2018",,,,"250-395-0259",,"100 Mile House (Zone 10)",,,,,"No","Not Available","BRYAN",,,,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"12/12/2017",,"446","356","No",,"At Lot Line","3/31/2018",,,,"LOUISE CLEVERLEY",,"240.00",,"$279.30","Yes",,,"Yes",,,"12/18/2017",,"9/20/2016","$50,000","1.96",,"Not Available",,,"GEOFFREY HILLIARD/CATHERINE HILLIARD",,"007-542-585",,"House/Single Family","V0K 1X3","$0",,"No","BC","1.96 acres in the popular Deka Lake Subdivision which is well known as a 4 season recreational playground. Property is heavily treed and just waiting for your development ideas with hydro and phone at the lot line. Create a camping spot or build a permanent residence then enjoy your own direct access to the massive trail system in the area and this pristine lake for all your favourite water sports. L#8401","Selling Realtor must attend initial showing and all subsequent showings otherwise the Selling Commission is $100.00","BC Northern","For Sale","None","12/12/2017","$45,000",,"0.90","0.90","12/18/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"R1"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145977/0/120/90/807d228f89d7d77776a232a0419f6048/13/1db9c9741b56effc15d2f8e79fcc06e5/262145977.JPG","R2124350","Land Only","S","LOT 49 WOLFE ROAD","Horse Lake","$45,000","388",,,"0.00",,,,,,,"Road Access","1/5/2018",,,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available","WRIGHT",,,,"Horse Lake","Land",,,,"12/15/2017",,"388","484.25","No",,"At Lot Line","6/1/2018",,,,"LR",,"101.54",,"$461.95","Yes",,,"No",,,"12/19/2017",,"11/21/2016","$49,900","1.13",,"At Lot Line",,,"GORDON HENDERSON (ESTATE OF)",,"007-642-172",,,"V0K 1X0","$56,900",,"No","BC","A very nice treed property in Anderson Subdivision, untouched since the 70s. 1.13 acres for you to build your dream home and experience the serenity and tranquility of the forest. Natural gas, community water, electricity at the lot line. Paved roads and only a short walk from Horse Lake. Only 15 mins to 100 Mile and close to Horse Lake Elementary School. Very few lots left in this area, don't let this one get away.",,"BC Northern","For Sale","None","12/15/2017","$45,000",,"0.75","0.90","12/19/2017",,,"None",,"Freehold NonStrata",,"No",,,"Community",,"R1"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262246203/0/120/90/99f5492bb601a1b62a02bf02074b1575/14/14dd1b9713e675b62fe110e144145ab7/262246203.JPG","R2224576","Residential Detached","S","96 6338 VEDDER ROAD","Sardis East Vedder Rd","$48,000","23","2","1980","0.00","MANUF","1",,,,,,"1/31/2018","37",,,"604-819-1417",,"Sardis",,,"0","2",,,"COLVIN ENTERPRISES",,,,"Sardis","Residential Detached",,,,"12/15/2017","419467","21",,,"Detached",,"1/31/2018",,"0","1,140","RUSSELL MOORE","Other",,"1","$350.00","Yes",,,,,,"12/27/2017",,"11/22/2017","$88,800","0.00",,,,"1","ERNIE & CLARE HJALMARSON,  ANITA SIMON",,"700-001-301","2",,"V2R 3R3","$0","$42.11",,"BC","Located in a very quiet area of the park. Very short walking distance to shopping & recreational facilities. Nice size mobile with 2 bedrooms one bath room, open kitchen / living room area. Large covered deck and storage as well.","All meas. approx. Buyer to verify if deemed important. Park approval required. Pad Rent $500.00. 45 + age restriction. Easy to show, do not let cats out.","Chilliwack","For Sale",,"12/15/2017","$48,000","$42.11","0.54","0.54","12/27/2017",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262154608/0/120/90/c43cb565fd9a479b6de38dd971c5f469/13/fbdbef9311d14ba866067c957b617a15/262154608.JPG","R2132981","Residential Attached","S","A12 2131 UPLAND STREET","VLA","$54,000","318","2","1964","0.00","TWNHS","1",,,,,,"2/8/2018","54",,,"250-961-9248",,"PG City Central (Zone 72)",,,"0","2",,,"KURKAR INC",,,,"Prince George","Residential Attached",,,"VLA ALPINE VILLAGE","12/14/2017",,"316","0",,"Attached",,"12/31/2017",,"0","1,344","MARGUERITE ODENDAHL","Concrete Perimeter","0.00","1","$565.64","Yes",,,,,,"1/30/2018",,"1/18/2017","$59,900","0.00",,,,"2","DONALD WARREN/LORNA-GAIL WARREN",,"018-433-651",,,"V2L 2V8","$0","$40.18",,"BC","Come start your portfolio here, or enjoy affordable living. Good tenants pay $700 plus utilities in this clean 2 bedroom unit. New counter tops in kitchen. Strata working on plan for exterior improvements to complex, see strata office for more information.","Please allow 36 hours for posting notice. Strata terms can change, please view alpine-village.blogspot.ca for up to date changes.","BC Northern","For Sale",,"12/14/2017","$54,000","$40.18","0.90","0.90","1/30/2018",,,,"$122.98","Freehold Strata","1",,,"239",,,"RM3"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262221328/0/120/90/8d222ced0747b90748b6d20f4cac36e3/13/dbcf026fa0df8c8b0afee1ff563dedd1/262221328.JPG","R2199701","Residential Detached","S","2123 TEAL BOULEVARD","Masset","$57,500","115","4","1978","7,200.00","HOUSE","1",,,,,,"1/25/2018","40",,,"604-557-3597",,"Prince Rupert (Zone 52)",,,"0","4",,,"LAVOIE",,,,"Masset","Residential Detached",,,,"12/14/2017",,"113","120",,"Detached",,"8/20/2018",,"0","1,536","BRIAN BUSSIERE","Preserved Wood","60.00","1","$1,408.47","Yes",,,,,,"1/11/2018",,"8/21/2017","$63,500","0.17",,,,"1","M'AKOLA HOUSING SOCIETY",,"009-198-245","0",,"V0T 1M0","$69,900","$37.43",,"BC","Overgrown backyard. All flooring removed down to plywood other than kitchen linoleum. Basement unfinished other than framed-in bedroom with carpeting. Newer fridge and stove. Needs love and a good cleaning. Great starter home.","Overgrown backyard. All flooring removed down to plywood other than kitchen linoleum. Basement unfinished other than framed-in bedroom with carpeting. Newer fridge and stove. Needs love and a good cleaning. Great started home.","BC Northern","For Sale",,"12/14/2017","$57,500","$37.43","0.82","0.91","1/11/2018",,,,,"Freehold NonStrata","1",,,,,,"R1"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262242136/0/120/90/9717838ece746058c2dd5bea74429f3c/13/182f4b1c54d3a831da5b983c283f8cda/262242136.JPG","R2220509","Residential Detached","S","62 3889 MULLER AVENUE","Thornhill","$57,500","36","1","1983","0.00","MANUF","1",,,,,,"1/12/2018","35",,,"250-615-1350",,"Terrace (Zone 88)",,,"0","1",,,"DEHOOG",,,,"Terrace","Residential Detached",,,"PINE PARK MOBILE HOME PARK","12/13/2017","309432","36","0",,"Detached",,"2/7/2018",,"0","1,100","DARREN","Other","0.00","1","$480.00","Yes",,,,,,"1/10/2018",,"11/7/2017","$69,900","0.00",,,,"1","NANCY GROBER",,"800-117-642",,,"V8G 4L2","$0","$52.27",,"BC","Super affordable and immediately available for a new owner! This spacious 2 bedroom home has been freshly painted throughout and features brand new dark laminate flooring. The living room is large and has plenty of room for the big screen and couches. The spacious kitchen features freshly updated cabinets with new hardware. The dining area can fit a larger table. The addition makes for a great office area or 2nd living room. There is also a screened in porch on the back for those summer months. The yard is fenced and features a storage shed out back. Call or Click today for more information or to schedule a viewing! Buy today and be moved in soon!","Foundation is wood blocking.","BC Northern","For Sale",,"12/13/2017","$57,500","$52.27","0.82","0.82","1/10/2018",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262199005/0/120/90/33ca2945ea673d79b554926c010ed1b8/13/6d9f313a9914ad6383b4659291f035d3/262199005.JPG","R2177378","Land Only","S","5434 EGG LAKE ROAD","Williams Lake - Rural North","$60,000","195",,,"0.00",,,,,,,"Road Access","12/21/2017",,,,"250-392-0126",,"Williams Lake (Zone 27)",,,,,"No","Not Available","GIBSON",,,,"Williams Lake","Land",,,,"12/12/2017",,"182","0","No",,"At Lot Line","5/31/2018",,,,"ANITA",,"0.00",,"$452.60","Yes",,,"Yes",,,"12/27/2017",,"5/31/2017","$79,900","3.86",,"Not Available",,,"CHARLES BURSINGER (ESTATE OF)",,"013-735-811",,,"V2G 4Y9","$0",,"No","BC","3.86 acres off of Highway 97 North within 1/2 hour of Williams Lake. This nice piece of property is fenced and has 2 serviced mobile home pads, 2 septic's and a well. No guarantees on working condition of well or septic's as no one has lived there for several years. Mobile on property is of little to no value and has been de-energized.","In Probate. Access to property is off of Highway 97 about 1/2 kilometer South of Blue Lake turnoff. Number on gate is 5434.","BC Northern","For Sale","Septic","12/12/2017","$60,000",,"0.75","0.75","12/27/2017",,,"None",,"Freehold NonStrata",,"No",,,"Well - Drilled",,"R3"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262202033/0/120/90/0141c43321dcaf0515a1ed3eeedea25e/13/80169d04ae0dc3e6c705f4425e33dc3d/262202033.JPG","R2180406","Residential Detached","S","2648 SPOUT LAKE ROAD","Lac la Hache","$60,000","187","1","1964","0.00","RECRE","1",,,,,,"1/12/2018","53",,,"250-706-2742",,"100 Mile House (Zone 10)",,,"0","1",,,"GULLACHER",,,,"Lac La Hache","Residential Detached",,,,"12/16/2017",,"178","0.00",,"Detached",,"10/30/2018",,"1","512","Tamara Van Loon","Other","0.00","0","$559.41","Yes",,,,,,"12/19/2017",,"6/12/2017","$79,900","0.78",,,,"1","LOUISE PURCHASE",,"018-153-721",,,"V2G 5J6","$89,900","$117.19",,"BC","Estate Sale !!!!  Vendor motivated!!!!Rustic cabin located on Rail Lake, northeast of Lac La Hache. This property is water access only, but has road access via a rough forestry road. The cabin comes furnished and is wired for a generator. There is room at the back of the property to build a driveway if needed. New metal roofing available to redo the roof. There are water rights to nearby Burton Brook. Rainbows up to 3lb are fairly consistent through the season.","Foundation is unknown. Roofing is rolled asphalt and in need of replacing.","BC Northern","For Sale",,"12/16/2017","$60,000","$117.19","0.67","0.75","12/19/2017",,,,,"Freehold NonStrata","0",,,,,,"R1"
