"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133827/0/120/90/884a702df40c2484977e236f4bc7fa87/13/843696b27b7d4f784539857e3ce7acc4/262133827.JPG","R2112200","Land Only","X","3278 4TH STREET","Houston - Town","$16,000","366",,,"9,000.00",,,,,,,"Road Access",,,,,"250-845-8234",,"Houston (Zone 53)",,,,,"Yes","Not Available",,,,,"Houston","Land",,,,,,,"100","Yes",,"Available","9/27/2017",,,,"DAN HANSMA",,"90.00",,"$805.26","Yes",,,"Yes",,,"9/28/2017",,"9/27/2016","$16,000","0.21",,"Available",,,"JASON SULLIVAN",,"006-629-512",,,"V0J 1Z0","$0","$1.78","No","BC","Affordable 9,000 sq ft lot in quiet downtown neighbourhood next to the Bulkley River and walking trails! Central location, walking distance to parks and all amenities. Town water and sewer available. Zoned R-2. Manufactured homes permitted if meeting requirements.","Additional PID# 006-629-521 & 006-629-491","BC Northern","For Sale","Available",,,,,,"9/28/2017",,,"Available",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R2"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262229610/0/120/90/1087b38ec6f358050505af198e121b4f/13/7676ed54aee1b4d5eef5d433f790d380/262229610.JPG","R2207983","Land Only","S","LOT 9 EASZEE DRIVE","108 Ranch","$18,000","12",,,"0.00",,,,,,,"Road Access","10/18/2017",,,,"250-644-4299",,"100 Mile House (Zone 10)",,,,,"No","Not Available","BROWN",,,,"108 Mile Ranch","Land",,,,"9/28/2017",,"8","0","No",,"Available","9/1/2018",,,,"PAT",,"0.00",,"$491.04","Yes",,,"Yes",,,"10/4/2017",,"9/16/2017","$21,900","0.77",,"Available",,,"JAMES WEED / VALERIE WEED",,"007-971-010",,,"V0K 2Z0","$0",,"No","BC","Very affordable large lot in popular 108 Mile Ranch. Community water is available. Priced to sell for your dream home or to hold for future use.",,"BC Northern","For Sale","None","9/28/2017","$18,000",,"0.82","0.82","10/4/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"R1-1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231938/0/120/90/3eee8ae41d867cce04f490628bc30075/15/31d3ea781d374279ec6ca99fb8bc9ecd/262231938.JPG","R2210311","Residential Detached","S","20 32380 LOUGHEED HIGHWAY","Mission BC","$19,900","5","2","1972","0.00","MANUF","1",,,,,,"11/24/2017","45",,,"604-820-0555",,"Mission",,,"0","2",,,"ESAU",,,,"Mission","Residential Detached",,,"The Grove Mobile Home Park","9/29/2017","38313","1",,,"Detached",,"9/24/2018",,,"676","Nancy Olson","Concrete Block",,"1","$105.22","Yes",,,,,,"11/7/2017",,"9/24/2017","$19,900","0.00","Mission",,,"1","Jeni-Laura Badicu",,"900-585-363","2",,"V2V 1A4","$0","$29.44",,"BC","The Grove Mobile Home Park - 55 plus park located in a great area close to all amenities, shopping, hospital, steps to bus stop and walking distance to all that one needs.  This mobile has an addition that gives a covered porch and an extra room of living space. Shed out back. Roof appx 5 yrs. old & has the electrical inspected with a new Silver Sticker. On city water & sewer. Pad appx $625.00","If Measurements important please verify. Need park approval which will include criminal record check and credit check. Call listing realtor.","Fraser Valley","For Sale",,"9/29/2017","$19,900","$29.44","1.00","1.00","11/7/2017",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262221722/0/120/90/4ae71881a3ff179cbb5609202b375682/15/7a9afdefe14ae5c89fd052f90a059bfd/262221722.JPG","R2200095","Residential Detached","T","20 32380 LOUGHEED HIGHWAY","Mission BC","$19,900","34","2","1972","0.00","MANUF","1",,,,,,,"45",,,"604-820-0555",,"Mission",,,"0","2",,,,,"9/23/2017",,"Mission","Residential Detached",,,"The Grove Mobile Home Park",,"38313",,,,"Detached",,"9/26/2017",,,"676","Nancy Olson","Concrete Block",,"1","$105.22","Yes",,,,,,"9/26/2017",,"8/23/2017","$19,900","0.00","Mission",,,"1","Mia Maceac",,"900-584-749","2",,"V2V 1A4","$29,900","$29.44",,"BC","The Grove Mobile Home Park - 55 plus park located in a great area close to all amenities, shopping, hospital, steps to bus stop and walking distance to all that one needs. This mobile has an addition & extra room of living space. Shed out back. Roof approx. 5 yrs old & has the electrical inspected with a new silver sticker. On city water & sewer. Pad appx $625.","If Measurements important please verify. Need park approval which will include criminal record check and credit check. Call listing realtor.","Fraser Valley","For Sale",,,,,,,"9/26/2017",,,,,"Leasehold not prepaid-Strata","1",,,,,,"MHP"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262232117/0/120/90/7dbb42d01f38a649955c9538408c9104/13/0bae3e58a0165b0ab3fc490aa9e5c686/262232117.JPG","R2210490","Residential Detached","S","5248 42 STREET","Fort Nelson -Town","$22,500","0","2","1973","0.00","MNFLD","1",,,,,,"11/22/2017","44",,,"250-500-1434",,"Fort Nelson (Zone 64)",,,"0","2",,,"SEDDON",,,,"Fort Nelson","Residential Detached",,,,"9/28/2017","EL-492869-2017","0","120",,"Detached",,"12/28/2017",,"1","1,248","SHERRY","None","70.00","1","$1,023.66","Yes",,,,,,"11/10/2017",,"9/28/2017","$29,500","0.00",,,,"1","CIBC MORTGAGES INC.",,"010-434-500",,,"V0C 1R0","$0","$18.03",,"BC","Fabulous little package! 2 bedroom trailer on 70'x120' lot with spacious foyer and huge family room in addition. Plus, a 14'x22' workshop and partly fenced yard for secure storage. All at an affordable price...","Court ordered sale, Schedule A must accompany all offers. As is - Where is. BC Electric No: EL-492869-2017.","BC Northern","For Sale",,"9/28/2017","$22,500","$18.03","0.76","0.76","11/10/2017",,,,,"Freehold NonStrata","1",,,,,,"RS-2"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261220753/0/120/90/e359645d7751a17f814b70bc07a8d74b/13/606a1149ddc837759da701476bd57bca/261220753.JPG","N239413","Land Only","S","5591 HORN ROAD","Fort Fraser","$24,000","1122",,,"0.00",,,,,,,"Road Access","10/27/2017",,,,"250-567-0153",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available","LUCAS",,,,"Fort Fraser","Land",,,,"9/28/2017",,"1117",,"No",,"Nearby","8/31/2018",,,,"JODY PEDERSEN",,"0.00",,"$72.16","Yes",,,"No","VANDERHOOF RURAL",,"9/29/2017",,"8/28/2014","$25,000","1.05","Vanderhoof Rural","Not Available",,,"DOUGLAS WYLIE",,"009-186-000",,,"V0J 1N0",,,"Yes - Agricultural Land Reserve","BC","Beautiful one acre lot located on the Nechako River off of Horn Road near Fort Fraser, BC. Enjoy the stunning waterfront views and the natural splendor of this peaceful property. The adjacent lot 11 is also for sale by the same owner.","Adjacent lot is also for sale by the same owner. PID#: Lot 11 009-186-034.","BC Northern","For Sale","None","9/28/2017","$24,000",,"0.96","0.96","9/29/2017",,,"None",,"Freehold NonStrata",,"No",,,"None","No","R6"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262227130/0/120/90/4b501576a3a606e4baa0d6a80fd67660/13/a3ae2843dbf42d450e9daf28f3bff93b/262227130.JPG","R2205503","Land Only","S","LOT 2 SUTTON ROAD","Quesnel - Rural North","$24,000","16",,,"0.00",,,,,,,"Road Access","10/16/2017",,,,"250-991-9147",,"Quesnel (Zone 28)",,,,,"No","Not Available","ALTON/ROBINSON",,,,"Quesnel","Land",,,,"9/27/2017",,"14","0","No",,"At Lot Line","9/11/2018",,,,"RANDY DERRICK",,"0.00",,"$220.34","Yes",,,"Yes",,,"10/4/2017",,"9/11/2017","$26,000","5.03",,"At Lot Line",,,"THOMAS DAVIS/AMELIA DAVIS",,"004-524-608",,"House/Single Family","V2J 6X9","$0",,"Yes - Agricultural Land Reserve","BC","Great 5.03 acre parcel on a quiet no-thru road near Ten Mile Lake. Well treed and level with several good building sites. Located just minutes from the city.","5757","BC Northern","For Sale","None","9/27/2017","$24,000",,"0.92","0.92","10/4/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"RR2"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262230739/0/120/90/67e28d2ab7ffa5f6c81c98b3a353a11e/13/08765261ff1ac33fc55248a22f66b5dd/262230739.JPG","R2209112","Land Only","S","LOT 7 BIRCHWOOD ROAD","100 Mile House - Rural","$37,000","2",,,"0.00",,,,,,,"Road Access","10/9/2017",,,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available","HAYWARD",,,,"100 Mile House","Land",,,,"9/26/2017",,"1","145.57","No",,"Available","12/31/2017",,,,"DANITA",,"0.00",,"$239.07","Yes",,,"No",,,"9/27/2017",,"9/24/2017","$39,000","2.01",,"Not Available",,,"CRAIG DYSON/DEBORAH LENO",,"003-309-614",,"House/Single Family","V0K 2E0","$0",,"No","BC","Build your dream home here! Feel like you're away from it all but just minutes to 100 Mile House. Gorgeous 2 acres, treed with nice fir throughout, level building lot with driveway in and the rest - a blank slate. You can choose your building site, selectively remove trees to create just the right amount of privacy, and choose the perfect style of home t omake this just what you want. This is the one you've been waiting for, don't miss out!","**Should the property be sold to Christopher and Claudia Hayward, total commission payable is to be reduced to $1500.","BC Northern","For Sale","None","9/26/2017","$37,000",,"0.95","0.95","9/27/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"RR3"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262186193/0/120/90/edef13e1e29af7ff85b6c382ae636c58/13/ca317aeef306cbcf1b4e229867e8f951/262186193.JPG","R2164566","Residential Detached","X","122 5130 NORTH NECHAKO ROAD","Nechako Bench","$39,900","144","2","1977","0.00","MANUF","1",,,,,,,"40",,,"250-981-2008","2015","PG City North (Zone 73)",,,"0","2",,,,,,,"Prince George","Residential Detached",,,"CALEDONIA TRAILER PARK",,"E#272456",,"0",,"Detached",,"9/28/2017",,"0","1,076","KAREN","Preserved Wood","0.00","1","$317.63","Yes",,,,,,"9/29/2017",,"5/8/2017","$39,900","0.00",,,,"1","MICHAEL LAMBKIN",,"800-113-543","2",,"V2K 4W1","$0","$37.08",,"BC","Ideal for a first time home owner or if you're looking to downsize. Renovated 14 wide mobile with silver label. Includes stove, fridge, washer & dryer. Move In Ready!    NOTE   This home is off the market","   OFF  THE MARKET","BC Northern","For Sale",,,,,,,"9/29/2017",,,,,"Other","1",,,,,,"MHP"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143119/0/120/90/46aa25b562cdcfafe257032f9baa3fff/13/5780b3388146cb40aa76d3a3daec4277/262143119.JPG","R2121492","Residential Detached","X","7975 SABYAM ROAD","North Kelly","$49,900","329","3","1983","0.00","MANUF","1",,,,,,,"34",,,"250-562-3600",,"PG City North (Zone 73)",,,"0","3",,,,,,,"Prince George","Residential Detached",,,,,"428005",,,,"Detached",,"9/25/2017",,"2","1,029","LR","Other",,"1","$352.40","Yes",,,,,,"9/26/2017",,"11/1/2016","$49,900","0.00",,,,"1","RAYMOND LANG/ VALERIE LANG",,"800-109-481",,,"V2K 2K4","$0","$48.49",,"BC","Ideal retirement home. Nice fenced yard for dogs or children. Well kept 14x70 Moduline plus tip out making for a very large living room with a vaulted ceiling. Home is located on large leased lot.                                                         Note ! this home is off the market","Foundation: cement pillars. Property is leased at $380.00 per month.","BC Northern","For Sale",,,,,,,"9/26/2017",,,,,"Other","1",,,,,,"RSM2"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262022850/0/120/90/28f71957142713a1ccaeabb22b85a9f2/13/e36a1112a0b770e1732c14d6109f669f/262022850.JPG","R2001223","Residential Attached","S","37 301 STUART DRIVE","Mackenzie -Town","$57,000","738","3","1978","0.00","TWNHS","1",,,,,,"10/24/2017","39",,,"250-997-6773",,"Mackenzie (Zone 69)",,,"0","3",,,"LUDVIGSON",,,,"Mackenzie","Residential Attached",,,"CHELSEA ESTATES","9/27/2017",,"736",,,"Attached",,"9/30/2017",,"1","1,440","LR","Concrete Perimeter","0.00","1","$1,171.03","Yes",,,,,,"10/5/2017",,"9/15/2015","$64,900","0.00",,,,"3","TEKAMAR MORTGAGE FUND LTD/H & D DIETRICH (ET AL)",,"023-675-314","1",,"V0J 2C0","$69,900","$39.58",,"BC","Move in ready three bdrm townhouse, cleaned, professionally painted, close to town and amenities. Main with kitchen, eating area and living room with gas FP. Three bdrms up with full bath. Unfinished down with lots of potential to develop. Fenced yard facing greenspace. Incl: F/S. vinyl siding and updated roof on complex. Strata fee $189 PM. One parking stall per unit.","Currently tenant occupied @ 500 PM. Well under going rental rates here.","BC Northern","For Sale",,"9/27/2017","$57,000","$39.58","0.88","0.88","10/5/2017",,"2",,"$175.00","Freehold NonStrata","1",,,,,,"RM1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262191216/0/120/90/b7eb6d09b3531a25b780f8e239d5af7d/13/0524030a8a690fba57032493ebb04457/262191216.JPG","R2169589","Land Only","S","LOT B LITTLE FORT 24 HIGHWAY","Lone Butte/Green Lk/Watch Lk","$58,000","127",,,"0.00",,,,,,,"Road Access","10/31/2017",,,,"250-706-2518",,"100 Mile House (Zone 10)",,,,,"No","Not Available","STROMGREN",,,,"Lone Butte","Land",,,,"9/27/2017",,"126","0.00","No",,"Nearby","12/31/2018",,,,"BRENDA HUTTOM",,"0.00",,"$587.34","Yes",,,"Yes",,,"10/4/2017",,"5/23/2017","$60,000","11.40",,"Not Available",,,"SIGNET SERVICES INC.",,"028-296-753",,"House/Single Family","V0K 1X0","$0",,"No","BC","Approximately 11.4 acres across the road from a great fishing lake: Iris Lake. Only a short drive to several other excellent lakes for all your recreational activities. Great building sites to choose from. Close to store and restaurants in Lone Butte, and only 15 minutes to 100 Mile House. L#7503","GST is applicable.","BC Northern","For Sale","None","9/27/2017","$58,000",,"0.97","0.97","10/4/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"RR1"
