"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196750/0/120/90/fa24ea558f079b41a2c4e47e3b7ab691/13/ed06a0deab74af012bcd416690b6b65f/262196750.JPG","R2175123","Land Only","S","4 HEARNE AVENUE","Granisle","$7,000","16",,,"6,000.00",,,,,,,"Road Access","8/25/2017",,,,"250-692-3530",,"Burns Lake (Zone 55)",,,,,"No","Not Available","QUINN",,,,"Granisle","Land",,,,"6/23/2017",,"16","119.96","No",,"At Lot Line","6/5/2018",,,,"Dennis Bock",,"50.00",,"$314.48","Yes",,,"No","VILLAGE OF GRANISLE",,"7/21/2017",,"6/7/2017","$8,000","0.14","Granisle","Not Available",,,"ASAKO CHANG",,"005-056-373",,"Other","V0J 1W0","$0","$1.17","No","BC","This Granisle lot is zoned low density and agriculture District. This allows a) agriculture, b) double wide mobile home, e) single family dwelling. It is about 2 blocks from the Granisle marina. The size is 50 in the front and 120 ft deep. The property is fully serviced with water, sewer, power and telephone at the lot line. Granisle is presently a retirement and recreation village. If mine just north of Granisle opens this village would boom as a mining town again. For more information, Google: Pacific Booker Mineral Inc. This lot is very close to Babine Lake which is noted for good fishing for salmon, trout and char. the ajacent lot 6 Hearne is also for sale. See MLS# R2173388.",,"BC Northern","For Sale","At Lot Line","6/23/2017","$7,000","$1.17","0.88","0.88","7/21/2017",,,"None",,"Freehold Strata",,"No",,,"City/Municipal",,"R1A"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262195015/0/120/90/a8a320902f86519d19578f370dc7e342/13/3880b9b739a07fd5318cd270510af34a/262195015.JPG","R2173388","Land Only","S","6 HEARNE AVENUE","Granisle","$7,000","23",,,"6,000.00",,,,,,,"Road Access","8/25/2017",,,,"250-692-3530",,"Burns Lake (Zone 55)",,,,,"No","Not Available","QUINN",,,,"Granisle","Land",,,,"6/23/2017",,"18","119.96","No",,"At Lot Line","5/16/2018",,,,"Dennis Bock",,"50.00",,"$314.48","Yes",,,"No","VILLAGE OF GRANISLE",,"7/21/2017",,"5/31/2017","$8,000","0.14","Granisle","Not Available",,,"ASAKO CHANG",,"005-056-471",,"House/Single Family","V0J 1W0","$0","$1.17","No","BC","This Granisle lot is zoned low density and agriculture District. This allows a) agriculture, b) double wide mobile home, e) single family dwelling. It is about 2 blocks from the Granisle marina. The size is 50 in the front and 120 ft deep. The property is fully serviced with water, sewer, power and telephone at the lot line. Granisle is presently a retirement and recreation village. If mine just north of Granisle opens this village would boom as a mining town again.  This lot is very close to Babine Lake which is noted for good fishing for salmon, trout and char.",,"BC Northern","For Sale","At Lot Line","6/23/2017","$7,000","$1.17","0.88","0.88","7/21/2017",,,"None",,"Freehold Strata",,"No",,,"City/Municipal",,"R1A"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262193992/0/120/90/18a529c83e6cdad572f267a3fd066add/13/76974a724c71eb64b59675624b765ad6/262193992.JPG","R2172365","Land Only","S","LOT 40 LITTLE FORT 24 HIGHWAY","Bridge Lake/Sheridan Lake","$14,500","21",,,"14,810.40",,,,,,,"Road Access","7/14/2017",,,,"250-706-2114",,"100 Mile House (Zone 10)",,,,,"No","Not Available","LEAVITT",,,,"Bridge Lake","Land",,,,"6/21/2017",,"20","200","No",,"At Lot Line","10/31/2017",,,,"Arlene Jongbloets",,"75.00",,"$150.69","Yes",,,"No","WILLIAMS LAKE RURAL",,"6/29/2017",,"5/31/2017","$16,000","0.34","Williams Lake Rural","Not Available",,,"DANIEL MCAULAY",,"008-857-768",,"House/Single Family","V0K 1E0","$0","$0.98","No","BC","Great lakeview property at a great price can be yours at desirable Lac des Roches, and just a 4 hour drive from the lower mainland! The gentle slope lends itself nicely to a rancher style home with a walkout and the property has minimal brush for easy development. Lac des Roches is one of the Cariboo's premier fly fishing lakes while also ideal for canoeing, paddle boarding, kayaking and power water sports. This one has to be seen to be appreciated and won't last long!","eastern stake of lot 38 very visible and western border of lot 40 will be 75 ft. from stake. Lot has 75 ft. frontage.","BC Northern","For Sale","None","6/21/2017","$14,500","$0.98","0.91","0.91","6/29/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"R1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262194006/0/120/90/a79dc28ad2db711c52d644bfb41fdf4a/13/410c40108ae4b55674cf9b2f2f7ada0a/262194006.JPG","R2172379","Land Only","S","LOT 41 LITTLE FORT 24 HIGHWAY","Bridge Lake/Sheridan Lake","$14,500","21",,,"14,810.40",,,,,,,"Road Access","7/14/2017",,,,"250-706-2114",,"100 Mile House (Zone 10)",,,,,"No","Not Available","LEAVITT",,,,"Bridge Lake","Land",,,,"6/21/2017",,"20","200","No",,"At Lot Line","10/31/2017",,,,"Arlene Jongbloets",,"75.00",,"$150.69","Yes",,,"No","WILLIAMS LAKE RURAL",,"6/29/2017",,"5/31/2017","$16,000","0.34","Williams Lake Rural","Not Available",,,"DANIEL MCAULAY",,"008-857-806",,"House/Single Family","V0K 1E0","$0","$0.98","No","BC","Great lakeview property at a great price can be yours at desirable Lac des Roches, and just a 4 hour drive from the lower mainland! The gentle slope lends itself nicely to a rancher style home with a walkout and the property has minimal brush for easy development. Lac des Roches is one of the Cariboo's premier fly fishing lakes while also ideal for canoeing, paddle boarding, kayaking and power water sports. This one has to be seen to be appreciated and won't last long! Adjacent lot is also available.","eastern stake of lot 38 very visible and western border of lot 41 will be 150 ft. from stake. Lot has 75 ft. frontage.","BC Northern","For Sale","None","6/21/2017","$14,500","$0.98","0.91","0.91","6/29/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"R1"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/63ed1da6b1b960795b2d411bf69cfae5/NoPhotoAvailable.jpg","R2180050","Residential Detached","T","97 5130 NORTH NECHAKO ROAD","North Meadows","$20,000","1","3","1974","0.00","MANUF","1",,,,,,,"43",,,"250-552-8562",,"PG City North (Zone 73)",,,"0","3",,,,,"6/20/2017",,"Prince George","Residential Detached",,,"CALEDONIA TRAILER PARK",,"64243104",,"0.00",,"Detached",,"6/20/2017",,"0","780","BILL OLLINGER","Preserved Wood","0.00","1","$0.00","Yes",,,,,,"6/20/2017",,"6/19/2017","$20,000","0.00",,,,"1","LORI KLEINE/STEPHANIE WATERS",,"800-114-553","2",,"V2K 4W2","$0","$25.64",,"BC","Spic and span mobile home close to convenience store, schools, recreation, and road access. 3 bedrooms and 1 5pc Jack & Jill bath, large laminate floor living room with pop-out for extra space, newer window blinds, EPP hydro approx. $45/month, includes f/s/w/d and shed. Pets and rentals allowed. Park is under new management. Cost-effective living or a great getaway to begin an investment property career.","For appointments, please call/text Billy O. Park approval required. All measurements approximate, Buyer to verify if deemed important.","BC Northern","For Sale",,,,,,,"6/20/2017",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHP"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262171629/0/120/90/acb1a5a63121a94c01f4d1d98c222f52/13/e18928377a345c6fdaa8dc438082fda6/262171629.JPG","R2150002","Residential Detached","X","132 1000 INVERNESS ROAD","Aberdeen PG","$24,900","93","2","1978","0.00","MANUF","1",,,,,,,"39",,,"250-613-6370",,"PG City North (Zone 73)",,,"0","2",,,,,,,"Prince George","Residential Detached",,,"INVERNESS MOBILE HOME PARK",,"10335",,,,"Detached",,"6/20/2017",,"0","1,000","KEVEN","Other",,"1","$382.35","Yes",,,,,,"6/21/2017",,"3/20/2017","$24,900","0.00",,,,"1","GARRY TURNER",,"800-112-555",,,"V0K 4V1","$0","$24.90",,"BC","This is the perfect home for a young couple or retirees looking to invest a little sweat equity to finish off the interior renovations. Most all of the interior walls are now sheet-rock drywall. The bathroom was renovated in 2015; newer light fixtures throughout. First coat of paint on exterior is done and the roof is only one year old. You will enjoy the yard on the expansive wraparound sundeck. In addition, you can store all the toys in the extra-large shed. Brand new kitchen cabinets.","Foundation is cribbing. Buyer needs park approval.","BC Northern","For Sale",,,,,,,"6/21/2017",,,,,"Freehold NonStrata","1",,,,,,"RS5"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262194296/0/120/90/546bc768689956a333f5fb7d8c1a7344/13/cac30e2992cea4c292bb80be917c9297/262194296.JPG","R2172669","Land Only","S","LOT 79 COTTERPIN PLACE","Deka/Sulphurous/Hathaway Lakes","$29,000","22",,,"0.00",,,,,,,"Road Access","7/12/2017",,,,"250-706-9776",,"100 Mile House (Zone 10)",,,,,"No","Not Available","SMITH",,,,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"6/23/2017",,"22","201","No",,"Available","5/31/2018",,,,"WENDY PATTEN",,"121.00",,"$199.02","Yes",,,"Yes",,,"7/25/2017",,"6/1/2017","$33,000","0.61",,"Not Available",,,"RANDALL FLETCHER",,"007-803-605",,"House/Single Family","V0K 1X3","$0",,"No","BC","Located in a quiet area of Deka Lake, yet close to water access, this 0.61 acre undeveloped lot is pleasantly situated on the corner of Cotterpin Place and Gauthier Roads. The lot is completely level and easy to build on, and provides both North and West exposure for maximum sunshine, and a nice open feeling with just the right amount of trees. Deka Lake is one of the most popular locations on Fishing Highway 24, with Interlakes shopping area just 15 minutes away, and 100 Mile House 40 minutes away. Grab this quick!",,"BC Northern","For Sale","None","6/23/2017","$29,000",,"0.88","0.88","6/27/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"R1"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262198036/0/120/90/cc703ec4f6598f9bd016d99b4dfdd8ae/13/b2d24e540757f1c0963ec464817e7364/262198036.JPG","R2176409","Land Only","S","LOT 10 GLENMARY ROAD","Shelley","$30,000","11",,,"0.00",,,,,,,"Allowed Access","7/6/2017",,,,"250-640-3325",,"PG Rural East (Zone 80)",,,,,"No","Not Available","CONNIE FAY GRAHAM & ASSIGNS",,,,"Prince George","Land",,,"SHELLY","6/23/2017",,"11","0.00","No",,"Available","10/12/2017",,,,"TREVOR FINCH",,"0.00",,"$302.60","Yes",,,"Yes",,,"6/27/2017",,"6/12/2017","$29,990","5.29",,"Nearby",,,"BAYSIDE CONSTRUCTION LTD.",,"005-914-868",,"House/Single Family","V2K 5E8","$0",,"No","BC","5.29 acres just minutes from Prince George. Get away from it all and build your dream home on this 5 acre parcel located on the corner of Glenmary and Eagleview in the Shelly Subdivision. Paved roads make it an easy commute just 8km form town. Drilled well on the property. Close to the Links of Maggie-May Golf Course. Many building areas located on the property gives you lots of options regarding development.",,"BC Northern","For Sale","None","6/23/2017","$30,000",,"1.00","1.00","6/27/2017",,,"None",,"Freehold NonStrata",,"No",,,"Well - Drilled",,"RR1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262105373/0/120/90/e1a08a5a3661381327c8c6a5c98c4bf0/13/6074f76b87a3686cc59716c03f8e5bac/262105373.JPG","R2083746","Land Only","X","LOT 3 QUARTZ ROAD","Fraser Lake","$32,000","366",,,"0.00",,,,,,,"Road Access",,,,,"250-567-9222",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,,,,"Fraser Lake","Land",,,,,,,"0","No",,"Nearby","6/22/2017",,,,"KENT",,"0.00",,"$180.24","Yes",,,"Yes",,,"6/23/2017",,"6/22/2016","$32,000","5.01",,"Not Available",,,"BRIAN HILLSDEN",,"005-330-718",,"House/Single Family","V0J 1S0","$0",,"No","BC","Beautiful 5 acre lot close to Francois Lake.",,"BC Northern","For Sale","None",,,,,,"6/23/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"H-1"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262180679/0/120/90/671bdf7f214d74eb1ec28aca2af99905/15/09f6b557f01c26cfe883cf5354dc5d19/262180679.JPG","R2159052","Residential Detached","S","31 2035 MARTENS STREET","Central Abbotsford","$38,000","57","2","1979","0.00","MANUF","1",,,,,,"7/31/2017","38",,,"604-308-5715",,"Abbotsford",,,"0","2",,,"MACKENZIE",,,,"Abbotsford","Residential Detached",,,"Maplewood Estates","6/20/2017","418118","56","0",,"Detached",,"2/28/2018",,"0","932","Mike","Concrete Block","0.00","1","$117.84","Yes",,,,"CITY OF ABBOTSFORD",,"6/30/2017",,"4/24/2017","$42,000","0.00","Abbotsford",,,"1","Marianne Elsie Martin",,"900-583-524","2",,"V2T 6M3","$38,500","$40.77",,"BC","Maplewood Estates very quiet seniors mobile park. One person must be 55+. Pet allowed 1 cat or dog 9 inches at shoulder up to 17 #.  No Property Purchase Tax. Must be approved by Park Management, before move in, allow 10 days.  Park does not allow any finance company to register a mortgage on property. Home has 2 bedrooms & a den. Newer laminate floors,  enclosed porch and a big covered sundeck.  Large corner lot. This is a handyman's special as needs repairs to bathroom, roof on the addition plus needs new windows. Handyman's special. Priced low to compensate for repairs that are needed to update this mobile  Owner is selling   AS IS - WHERE IS  as they can not do repairs. Please do not insult owners with LOW BALL offers. Thank you. Good Value!!!","General Home Systems Model Bendix Paramount S-70 1979 Serial # XDO333 MHR # 42212   CSA 418118   14 ft. by 52 ft. plus 12 foot by 17 foot  addition","Fraser Valley","For Sale",,"6/20/2017","$38,000","$40.77","0.99","0.90","6/30/2017",,,,,"Other","1",,,,,,"RH1"
