"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262184404/0/120/90/d441d8225af83eda819209d0f815167d/13/2a36a52672a524615fb8a6f1e3a8dca1/262184404.JPG","R2162777","Land Only","S","LOT 2 NOAK ROAD","Hixon","$17,000","28",,,"0.00",,,,,,,"Road Access","4/30/2018",,,,"250-563-1000",,"PG Rural South (Zone 78)",,,,,"No","Not Available","MEERS",,,,"Hixon","Land",,,,"5/25/2017",,"21","1280","No",,"Nearby","7/7/2017",,,,"KEVEN",,"303.00",,"$86.83","Yes",,,"Yes",,,"10/6/2017",,"4/27/2017","$15,000","9.00",,"Not Available",,,"GORDON MCDERMOTT / EDITH MCDERMOTT",,"012-272-213",,"House/Single Family","V0K 1S1","$0",,"Yes - Agricultural Land Reserve","BC","Lovely gently-sloping 9+ acres just 2 km up Thorley Road from downtown Hixon. Driveway access is right at the intersection of Thorley Road and Noak Road. There is barbed-wire fencing along the north side of the property. This parcel consists of 2 plots under the one title, divided by Noak Road. The large piece is just over 8 acres and the smaller one is about 1 acre. The property has been cleared, with some treed left for a windbreak and riparian zone at the creek on the west and north boundaries. This is a very inexpensive start to the country dream you have always wanted.",,"BC Northern","For Sale","None","5/25/2017","$17,000",,"1.13","1.13","6/5/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"AR1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261495735/0/120/90/94a51e211530070516cbd36510401b57/13/2bba5808872273d924525708982a437e/261495735.JPG","N242158","Land Only","S","LOT 10 S CANIM LAKE ROAD","Canim/Mahood Lake","$19,000","842",,,"0.00",,,,,,,"Road Access","6/9/2017",,,,"250-397-0042",,"100 Mile House (Zone 10)",,,,,"No","Not Available","SUFFERN",,,,"Canim Lake","Land",,,,"5/24/2017",,"839",,"No",,"Nearby","5/31/2018",,,,"BRENDA",,"0.00",,"$161.00","Yes",,,"Yes","WILLIAMS LAKE RURAL",,"5/25/2017",,"2/2/2015","$21,500","0.46","Williams Lake Rural","Not Available",,,"WAYNE ALEXANDER MEEK",,"006-288-952",,"House/Single Family","V0K 1J0","$23,500",,"No","BC","Well treed lot just under 1/2 acre offshore on Canim Lake Road South. There will be a beautiful view of the lake once the property is developed for your recreational or year-round home. Priced to sell. L#6946",,"BC Northern","For Sale","None","5/24/2017","$19,000",,"0.81","0.88","5/25/2017",,,"None",,"Freehold NonStrata",,"No",,,"None","No","R1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262190005/0/120/90/8edc652e8f9975633282497e8adb8e2b/13/99d4808199c47574378245aba125af42/262190005.JPG","R2168378","Land Only","S","LOT 166 GLOINNZUN DRIVE","108 Ranch","$30,000","7",,,"0.00",,,,,,,"Road Access","6/29/2017",,,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available","SANMA CONTRACTING",,,,"108 Mile Ranch","Land",,,,"5/24/2017",,"5","0","No",,"At Lot Line","11/30/2017",,,,"MEL / ADAM",,"0.00",,"$551.20","Yes",,,"Yes",,,"5/25/2017",,"5/17/2017","$39,900","0.66",,"At Lot Line",,,"SAWAKI KATSUSHIGE",,"007-962-151",,,"V0K 2E1","$0",,"No","BC","Beautiful building sites on this nicely-treed lot! This is a top 108 location, with beautiful homes up and down the street, at a great price, so don't delay!     L#8665",,"BC Northern","For Sale","None","5/24/2017","$30,000",,"0.75","0.75","5/25/2017",,,"None",,"Freehold NonStrata",,"No",,,"Community",,"R1-1"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113155/0/120/90/81b77c412233f83624e3d94e38d2c65d/13/3179f943024e729b8868c32839cccd4e/262113155.JPG","R2091528","Land Only","S","6491 GREY CRESCENT","Horse Lake","$35,000","314",,,"0.00",,,,,,,"Road Access","6/13/2017",,,,"250-644-4242",,"100 Mile House (Zone 10)",,,,,"No","Not Available","MCLATCHY",,,,"100 Mile House","Land",,,,"5/25/2017",,"314","0","No",,"At Lot Line","6/30/2017",,,,"BRAD",,"0.00",,"$227.91","Yes",,,"Yes",,,"5/29/2017",,"7/15/2016","$35,000","0.55",,"At Lot Line",,,"DELROY BARRON",,"007-762-593",,"House/Single Family","V0K 1E0","$0",,"No","BC","Rare vacant building lot on Grey Crescent in Mercer subdivision. Level treed lot with Horn's Hayfield at back of property. L#8266",,"BC Northern","For Sale","None","5/25/2017","$35,000",,"1.00","1.00","5/29/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"R-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262169148/0/120/90/668fe6f13d3aa33b7b120bd5f2df80c3/13/08c21df706bb690b2011ad9dbf257a22/262169148.JPG","R2147521","Residential Attached","S","G99 1900 STRATHCONA AVENUE","VLA","$50,000","71","3","1964","0.00","TWNHS","1",,,,,,"6/16/2017","53",,,"250-565-1195",,"PG City Central (Zone 72)",,,"0","3",,,"VLA VENTURS LTD",,,,"Prince George","Residential Attached",,,"VLA","5/25/2017",,"69",,,"Attached",,"7/31/2017",,"0","1,650","MARK","Concrete Perimeter",,"1","$777.88","Yes",,,,,,"6/8/2017",,"3/15/2017","$57,900","0.00",,,,"2","STEPHEN WILSON",,"018-435-661","1",,"V2L 2V9","$0","$30.30",,"BC","3-bedroom townhouse-style condo located at quiet end of cul-de-sac. Close to Strathcona Park. Full basement has laundry area and enough room for a 4th bedroom or rec room area. Fenced backyard is perfect for youngsters or pets...one cat and one dog are allowed (some restrictions). Parking space in front comes with plugin. Affordable starter or excellent investment property (no rental restrictions). Owner-occupied, so flexible on possession. Close to schools, parks and shopping. 2017 BC Assessment is $63,300. Well-run strata.","3-bedroom owner-occupied unit in Alpine Village. Needs updating. HWT - May 2008. Furnace - mid-efficiency. Possession after May 5 OK. Special Assessment of $96.57 to pay for new siding, windows and exterior doors. Easy to show - text LS for appointment - lockbox on. DO NOT LET 2 CATS OUT.","BC Northern","For Sale",,"5/25/2017","$50,000","$30.30","0.86","0.86","6/8/2017",,,,"$153.72","Freehold Strata","2",,,,,,"RM3"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185405/0/120/90/0395a8b0e6a03b2546f4b2ebcc1ec0cc/16/37460ec1daa073043f439581d2f1ca6e/262185405.JPG","R2163778","Land Only","S","14925 PARKHILL BOULEVARD","Hope Sunshine Valley","$57,000","18",,,"0.00",,,,,,,"Road Access","6/15/2017",,,,"604-803-4795",,"Hope",,,,,"No","Not Available","CHATTELL",,,,"Sunshine Valley","Land",,,"PARKHILL VILLAGE","5/24/2017",,"16","25.8/0.13 AC","No",,"Nearby","5/6/2018",,,,"RICH SIMMONS",,"0.00",,"$475.68","Yes",,,"Yes",,,"6/7/2017",,"5/6/2017","$69,900","0.13",,"Not Available",,,"B McCUNE",,"002-109-760",,"House/Single Family","V0X 1L5","$0",,"No","BC","This relatively flat lot is ideal for your weekend get-away or full-time home. Located in Sunshine Valley's desirable Parkhill Village. Enjoy 4 seasons for all your outdoor fun. hiking, fishing, ATV'ing, snow mobiling, X-country & downhill skiing in neighbouring Manning Park & more. Only 10 mins to Hope, 2 hours to Vancouver and 30 mins to Manning Park,.",,"Chilliwack","For Sale","Available","5/24/2017","$57,000",,"0.82","0.82","6/7/2017",,,"None",,"Freehold Strata",,"No",,,"Community",,"R1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189283/0/120/90/76af8c7ef6fdf34f116f6ae39df85319/16/aec778d625d4fef86ef1e93a40b1dc0a/262189283.JPG","R2167656","Residential Detached","S","119 9950 WILSON STREET","Stave Falls","$79,900","13","3","1971","0.00","MANUF","1",,,,,,"6/21/2017","46",,,"604-908-8787",,"Mission",,,"0","3",,,"HAYEK/LUM",,,,"Mission","Residential Detached",,,"RUSKIN PLACE MOBILE HOME PARK","5/25/2017","468226","8","0",,"Detached",,"12/31/2017",,"1","888","TOUCHBASE PLEASE","Concrete Block","0.00","1","$803.55","Yes",,,,,,"6/7/2017",,"5/12/2017","$79,900","0.00","Mission",,,"1","ANGELA MENARD",,"900-583-376","3",,"V4S 1B3","$0","$89.98",,"BC","WHY RENT, when you can be independent.. yard, garden & VIEW for less than rent!  This 3 bedroom, 1 bath, manufactured home in Mission/Ruskin has been nicely updated. New kitchen, bathroom, laminate flooring & private patio. Best location in the park with a view! Don't underestimate this gem.","Measurements are approximate and should be verified by Buyer prior to subject removal. Pad fee subject to change with change of ownership. 1 cat or 1 dog, under 12'. No rentals. Sold by POA 'as is where is'. Subject to Park approval.","Fraser Valley","For Sale",,"5/25/2017","$79,900","$89.98","1.00","1.00","6/7/2017",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MFH"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262163080/0/120/90/70def96eff955661837c4b53e1566a08/15/092783a7d80e9a47ae585a7a6d5178a3/262163080.JPG","R2141453","Residential Detached","T","32 2035 MARTENS STREET","Poplar","$79,900","88","2","1973","0.00","MANUF","1",,,,,,,"44",,,"604-820-0555",,"Abbotsford",,,"0","2",,,,,"5/19/2017",,"Abbotsford","Residential Detached",,,"MAPLEWOOD",,"40570",,"0",,"Detached",,"6/15/2017",,"0","1,196","Touchbase","Other","0.00","1","$125.00","Yes",,,,"CITY OF ABBOTSFORD",,"6/15/2017",,"2/24/2017","$79,900","0.00","Abbotsford",,,"1","George Thomas",,"900-582-719","4",,"V2T 6M3","$89,800","$66.81",,"BC","Beautiful & quiet Maplewood Estates!! Spacious, open plan with bright, efficient kitchen and walk in pantry! 2 Bedrooms (master has walk-in closet) plus computer room/office. Secluded low maintenance backyard with new privacy fence, deck, a hot tub and solarium! This is a lovely home with great layout and tons of storage. NEW Hot Water Tank & Roof only 10 yrs. BONUS - Has RV hookup & large driveway/carport! 55+ park. 1 cat or 1 small dog under 17 lbs & under 9. Pad rent is $642. Easy to show!","Furniture is negotiable Complex is 55+, 1 dog or cat - must be quiet, inside, under 17lbs and under 9. Note: Park manager won't sign anything from a bank so depending on bank, make sure they don't need park to sign anythinig before moving forward. A/O with S/R May 22","Fraser Valley","For Sale",,,,,,,"6/15/2017",,,,,"Leasehold not prepaid-NonStrata","1",,,,,,"MHR"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133112/0/120/90/739eea44a274e5cc367680e11800d47a/14/f100bd643156bc9595a3c035a8e583ae/262133112.JPG","R2111485","Land Only","X","14970 PARKVIEW AVENUE","Hope Sunshine Valley","$89,000","243",,,"0.00",,,,,,,"Road Access",,,,,"604-869-2945",,"Hope",,,,,"No","Not Available",,,,,"Sunshine Valley","Land",,,,,,,".11 ACRE","No",,"At Lot Line","5/20/2017",,,,"DAVID OR ANDY",,"40.00",,"$441.52","Yes",,,"No",,,"5/21/2017",,"9/20/2016","$89,000","0.11",,"Not Available",,,"TABITHA HULBERT",,"002-109-379",,"Recreational","V0X 1L5","$0",,"No","BC","Amazing mountain and valley views. This scenically located lot is to be sold in conjunction with neighbouring log home at 14960 Parkview Av. Perfect lot to build a second cottage, carriage house or shop. Great opportunity for families looking for a shared recreational get-away. Enjoy the amazing 4 seasons in beautiful Sunshine Valley.","To be sold in conjunction with 14960 Parkview. Separate contract of purchase & sale will be necessary. Separate title and strata fee. Please contact listing REALTOR(r) for details. Engineering report for site preparation has been completed.","Chilliwack","For Sale","Septic",,,,,,"5/21/2017",,,"Nearby",,"Freehold Strata",,"No",,,"Community",,"REC"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259811995/0/120/90/2e4e435ec27c0334c8b07a8afd89a26f/13/f89c2f90b493b2b9de4f54313a2305eb/259811995.JPG","N222722","Land Only","S","501 MACKENZIE 20 HIGHWAY","Bella Coola/Hagensborg","$89,000","1701",,,"0.00",,,,,,,"Road Access","7/30/2017",,,,"250-982-2704",,"Williams Lake (Zone 27)",,,,,"No","Not Available","GRANT",,,,"Bella Coola","Land",,,,"5/24/2017",,"1699",,"No",,"At Lot Line","9/25/2017",,,,"LEON BARNETT",,"0.00",,"$771.00","Yes",,,"Yes","BELLA COOLA RURAL",,"7/14/2017",,"9/26/2012","$89,000","13.40","Bella Coola Rural","Not Available",,,"AMALGAMATED MILL SUPPLIES LTD.",,"001-312-651",,,"V0T 1C0",,,"No","BC","Rare opportunity and great price for this 13.4 acre parcel zoned I1 Heavy Industrial. The location for this property is less than one kilometer from the Bella Coola townsite and a short drive to the wharf, boat launch and estuary. Boat stor age is one definite possibility. The property was previously excavated to accommodate log storage. Zoning may allow for multiple industrial uses and/or a separate residential structure.","Small corner of property is in the Bella Coola 200 year flood plain. Buyer is to verify exact status of zoning from the CCRD, reference Bylaw 231-232, from R1 to I1, May 1995.","BC Northern","For Sale","Unknown","5/24/2017","$89,000",,"1.00","1.00","7/5/2017",,,"None",,"Freehold NonStrata",,"No",,,"None","No","I1"
