"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262141945/0/120/90/906a5d9e9a1e58ef206ee37722683ef5/13/eddafb1692ee051675b74044c5dfeef0/262141945.JPG","R2120318","Land Only","S","23 HEARNE AVENUE","Granisle","$9,250","52",,,"6,360.00",,,,,,,"Road Access","3/30/2017",,,,"250-847-3144",,"Burns Lake (Zone 55)",,,,,"No","Not Available","QUINN",,,,"Granisle","Land",,,,"12/19/2016",,"49","120","No",,"At Lot Line","10/27/2017",,,,"JANTINA MEINTS",,"53.00",,"$334.79","Yes",,,"Yes",,,"1/12/2017",,"10/28/2016","$11,500","0.15",,"Not Available",,,"JOEY GILCHRIST",,"005-056-438",,,"V0J 1W0","$0","$1.45","No","BC","Great lot located in the picturesque Village of Granisle. This 53'x120' lot is level and lightly treed. Driveway established. Full municipal services available. Small shed on property. View of Babine Lake. Great holding property or to develop and build.",,"BC Northern","For Sale","At Lot Line","12/19/2016","$9,250","$1.45","0.80","0.80","1/12/2017",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R-1A"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146962/0/120/90/f1e4fb5b26570b278a3d51305b45c537/13/163ae729bc233bfe69c9b0ccd1e60aa9/262146962.JPG","R2125335","Residential Detached","S","358 CHILAKO CRESCENT","Fraser Lake","$22,000","22","2","1965","7,192.00","HOUSE","1",,,,,,"1/6/2017","51",,,"250-567-9222",,"Vanderhoof And Area (Zone 56)",,,"0","2",,,"LEPOIDEVIN",,,,"Fraser Lake","Residential Detached",,,,"12/16/2016",,"21","0",,"Detached",,"2/24/2017",,"0","1,700","KENT HAWLEY","Concrete Perimeter","0.00","1","$1,292.80","Yes",,,,,,"12/20/2016",,"11/24/2016","$34,900","0.17",,,,"1","RICHARD BARTON (TRUSTEE)",,"010-904-981",,,"V0J 1S0","$0","$12.94",,"BC","If you are looking for a project here you go. This older home need some TLC.  The house is very solid and sits on a concrete foundation and the basement has never been finished and is wide open for you to do as you please. This house has great potential as an investment property or fix it up and live in it. There is newer high efficient furnace and a hot water tank too. At this price it is going to sell fast so come make an offer today.","Old oil tank in basement. Trustee in charge of sale.","BC Northern","For Sale",,"12/16/2016","$22,000","$12.94","0.63","0.63","12/20/2016",,,,,"Freehold NonStrata","1",,,,,,"R-1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144157/0/120/90/7d4d2fabcc794fda12f2e76568d43484/13/c9adb59ac5cb73e3e8fd751e46efd49b/262144157.JPG","R2122530","Residential Detached","S","7485 WEST FRASER ROAD","Quesnel Rural - South","$25,000","36","6","1981","0.00","HACR","1",,,,,,"12/21/2016","35",,,"250-991-8170",,"Quesnel (Zone 28)",,,"3","3",,,"TANG",,,,"Quesnel","Residential Detached",,,,"12/14/2016",,"35","0",,"Detached",,"2/28/2017",,"0","2,364","WAYNE SEALE","Concrete Perimeter","0.00","1","$886.06","Yes",,,,,,"12/15/2016",,"11/8/2016","$39,900","1.50",,,,"2","ERWIN FICHTENBERG (ESTATE OF)",,"010-339-493",,,"V2J 6R3","$49,900","$10.58",,"BC","6 bdrm basement home on 1.5 acres South of town. Ideal accommodation for ranch hands. Bring the tool belt and turn this inexpensive home into a gem. Very private and quiet location. Approx. 41 kms and a 35 minute drive from downtown Quesnel. Address on property reads 7582 West Fraser. Included are all items left in or on the property. Seller will entertain reasonable offers for quick sale.","Address at property reads 7582 West Fraser. Lock box on entrance gate. Do not use front door. Keys for back door. Seller has no knowledge of well or septic. Sold As is-Where Is. All items in or on property will stay. Seller requests quick sale, so bring in reasonable offers.","BC Northern","For Sale",,"12/14/2016","$25,000","$10.58","0.50","0.63","12/15/2016",,,,,"Freehold NonStrata","1",,,,,,"RR3"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261969003/0/120/90/931d315c0852801838c89cc5cede41bb/13/0755fced37b124371540294b185f6c35/261969003.JPG","N247912","Residential Detached","S","C-8 653 COLUMBIA AVENUE","Kitimat","$28,000","490","3","1979","0.00","MANUF","1",,,,,,"12/15/2016","37",,,"250-632-7000",,"Kitimat (Zone 89)",,,"0","3",,,"FISK",,,,"Kitimat","Residential Detached",,,"VISTA VILLAGE TRAILER PARK","12/15/2016","250738","485",,,"Detached",,"2/28/2017",,"0","950","SHANNON DOS SANTOS","Other",,"1","$1,045.00","Yes",,,,"DISTRICT OF KITIMAT",,"12/20/2016",,"8/13/2015","$44,900","0.00","Kitimat",,,"1","CHERRY FRAMPTON",,"800-097-897",,,"V8C 1V4","$54,900","$29.47",,"BC","1979 14x68 Viscount manufactured home in a quiet part of the Vista Village Trailer Park. This mobile features a spacious living room and has updated laminate flooring, separate dining room, 3 bedrooms and 1 bathroom. Home has been very well maintained and is very clean. Home has attached entry porch. Fridge, stove, built-in dishwasher and washer/dryer included. As well, this mobile is fully furnished. Yard has some fencing and has 2 sheds and a greenhouse. Affordable living here with pad rental at $550 per month.New furnace in 2014 and all water lines under trailer have new heat tape on them.","Foundation is pylons.","BC Northern","For Sale",,"12/15/2016","$28,000","$29.47","0.51","0.62","12/20/2016",,,,,"Other","1",,,,,"No","R6B"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262072167/0/120/90/13fe1c1a751a46f94ac96d1bc8fb8dad/13/935312ac402db8d43f9f03b778135b48/262072167.JPG","R2050540","Residential Detached","X","6668 CHRISTENSEN ROAD","Williams Lake - Rural West","$31,000","274","2","1974","0.00","MNFLD","1",,,,,,,"42",,,"250-982-2553",,"Williams Lake (Zone 27)",,,"0","2",,,,,,,"Williams Lake","Residential Detached",,,,,"4404",,"0",,"Detached",,"12/16/2016",,"0","938","VERA ROBSON","Other","0.00","1","$299.25","Yes",,,,,,"12/17/2016",,"3/18/2016","$31,000","1.56",,,,"1","TORONTO DOMINION BANK",,"012-542-156",,,"V0L 1C0","$32,900","$33.05",,"BC","A good home at a good price. There could be some plumbing issues since it did freeze up. Between the roomy foyer and the spacious living room, it is hard to believe that you are in a trailer. The lay of the land gives you an expansive sky and the patio gives you a place to enjoy it.","The vendor will not accept any offers to purchase from any individual that is an employee of the Toronto Dominion Bank. All offers are to be accompanied with enclosed Schedules A & C. The foundation is cement pads with wooden blocks.","BC Northern","For Sale",,,,,,,"12/17/2016",,,,,"Freehold NonStrata","1",,,,,,"RS1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148104/0/120/90/22d4ab7a8970d620a9d6565e9f0c0c42/15/969f05d47a32e58680f6ddfd3e520449/262148104.JPG","R2126477","Residential Detached","S","136 7790 KING GEORGE BOULEVARD","East Newton","$31,900","17","3","1974","0.00","MANUF","1",,,,,,"1/16/2017","43",,,"604-538-8888","2014","Surrey",,,"0","3",,,"ALI",,,,"Surrey","Residential Detached",,,"CRISPEN BAYS","12/18/2016","253357","13",,,"Detached",,"5/14/2017",,"0","900","Karin White","Concrete Block","0.00","1","$76.00","Yes",,,,"CITY OF SURREY",,"1/25/2017",,"12/1/2016","$34,900","0.00","Surrey",,,"1","Estate of John James Cayley",,"900-545-124","2",,"V3W 5Y4","$0","$35.44",,"BC","Welcome home! This bright open plan 3 bedroom home(one with separate entrance) is perfect. Private rear yard backing onto green space. Newer furnace and windows to keep you warm. Conveniently located close to schools and shopping. On bus route, minutes to sky train. Complex has clubhouse and outdoor pool.",,"Fraser Valley","For Sale",,"12/18/2016","$31,900","$35.44","0.91","0.91","1/25/2017",,,,,"Other","1",,,,,,"MHP"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149379/0/120/90/c316053ea45acc505acde0d877611a5b/16/399feaf1e6bf9570b5038a8b240a19f2/262149379.JPG","R2127752","Residential Detached","S","3 21091 LOUGHEED HIGHWAY","Southwest Maple Ridge","$35,000","6","2","1979","0.00","MANUF","1",,,,,,"2/1/2017","38",,,"604-727-7848",,"Maple Ridge",,,"0","2",,,".",,,,"Maple Ridge","Residential Detached",,,"Val Marie","12/21/2016","Z240","6",,,"Detached",,"3/15/2017",,"0","896","John Kenney","Concrete Block",,"0","$306.75","Yes",,,,,,"1/3/2017",,"12/15/2016","$34,900","0.00",,,,"1","E. ASPINALL",,"800-110-343","2",,"V2X 2R2","$0","$39.06",,"BC","Sold as is where is. The roof is 2 years old, large yard. If you are looking for a project you have found it. Great West Maple Ridge location in a well established small park. Bring your ideas! ","Sold as is where is. Have all certification","Greater Vancouver","For Sale",,"12/21/2016","$35,000","$39.06","1.00","1.00","1/3/2017",,,,,"Leasehold not prepaid-NonStrata","0",,,,,,"MHP"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262141467/0/120/90/9b908cefc7f77c171e712bac50f7eaa3/16/b791d0c9333a66888c926cc651cf5dc3/262141467.JPG","R2119840","Residential Attached","S","83 1200 PACIFIC BOULEVARD","Yaletown","$40,000","51","0","1994","0.00","OTHER","0",,,,,,"1/31/2017","23",,,"604-817-7892",,"Vancouver West",,,"0","0",,,".",,,,"Vancouver","Residential Attached",,,,"12/15/2016",,"49",,,"Attached",,"2/28/2017",,"0","15","MICHELLE","Concrete Perimeter",,"0","$132.05","Yes",,,,,,"1/4/2017",,"10/25/2016","$37,000","0.00",,,,"1","J. JOHNSTON",,"018-382-118","1",,"V6Z 2Y0","$0","$2,666.67",,"BC","Your chance to own a LARGE strata-titled parking stall. Well priced. Annual maintenance fee of $637.24","This is a strata-titled LARGE parking stall.","Greater Vancouver","For Sale",,"12/15/2016","$40,000","$2,666.67","1.08","1.08","1/4/2017",,,,"$54.00","Freehold Strata","0",,,,,,"CD-1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259915926/0/120/90/454984fef4b164895f4ebd1c470f86d9/13/a9c7c69906126200c9c0f83383029912/259915926.JPG","N223598","Land Only","T","LOT 1 BLACKWATER ROAD","Bouchie Lake","$45,000","1495",,,"0.00",,,,,,,"Road Access",,,,,"250-992-2207",,"Quesnel (Zone 28)",,,,,"No","Not Available",,,"12/17/2016",,"Quesnel","Land",,,,,,,"966","Yes",,"At Lot Line","12/21/2016",,,,"RICK HUGHES",,"446.00",,"$253.30","Yes",,,"Yes","CITY OF QUESNEL",,"12/21/2016",,"11/15/2012","$45,000","10.00","Quesnel","At Lot Line",,,"YVONNE MERZ (ESTATE OF)",,"028-936-647",,"House/Single Family","V2J 7C9","$50,000",,"Yes - Agricultural Land Reserve","BC","10 acre building site! Lovely trees, paved road, private. Great holding property or build your hobby farm. Plenty of room for all those toys - 4 wheelers, horses, pets, chickens &/or kids. Nice terrain, nice trees, nice price. 10 minutes pa st Bouchie Lake Elementary School on the Blackwater Rd. Property is on the right, just before Sandford Rd on the left. Newly subdivided. GST applies.","Newly subdivided GST applies. Property on the right, just before Sanford Rd on t he left. (Subject to Probate)","BC Northern","For Sale","None",,,,,,"12/21/2016",,,"None",,"Freehold NonStrata",,"No",,,"None","No","RR1"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259915975/0/120/90/b92efeda84d7599192719016800a3d92/13/8bfaad6f67faae5197f578d3f00daf94/259915975.JPG","N223599","Land Only","T","LOT 2 BLACKWATER ROAD","Bouchie Lake","$45,000","1495",,,"0.00",,,,,,,"Road Access",,,,,"250-992-2207",,"Quesnel (Zone 28)",,,,,"No","Not Available",,,"12/17/2016",,"Quesnel","Land",,,,,,,"966","Yes",,"At Lot Line","12/21/2016",,,,"RICK HUGHES",,"393.00",,"$256.19","Yes",,,"Yes","CITY OF QUESNEL",,"12/21/2016",,"11/15/2012","$45,000","10.45","Quesnel","At Lot Line",,,"YVONNE MERZ (ESTATE OF)",,"028-936-655",,"House/Single Family","V2J 7C9","$49,900",,"Yes - Agricultural Land Reserve","BC","10 acre building site! Lovely trees, paved road, private. Great holding property or build your hobby farm. Plenty of room for all those toys - 4 wheelers, horses, pets, chickens &/or kids. Nice terrain, nice trees, nice price. 10 minutes pa st Bouchie Lake Elementary School on the Blackwater Rd. Property is on the right, just before Sandford Rd on the left. Newly subdivided. GST applies.","Newly subdivided GST applies. Property on the right, just before Sanford Rd on t he left. (Subject to Probate)","BC Northern","For Sale","None",,,,,,"12/21/2016",,,"None",,"Freehold NonStrata",,"No",,,"None","No","RR1"
