"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Adjustment Date","Age","Agent Hit Count","Alt Feature Sheet URL","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","Cancel Effective Date","Cancel Protection Date","City","Class","Client Hit Count","Collapse Date","Complex/Subdivision","Confirm Sold Date","CSA/BCE","Days On MLS","Depth","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","Fireplaces","Floor Area -Grand Total","For Appointment Call","Foundation","Frontage - Feet","Full Baths","Gross Taxes","Include in DDF (Y/N)","Income As At Date","Income Per Annum","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","List Price","Lot Sz (Acres)","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Owner Name","Other Units","P.I.D.#","Parking Places - Total","Permitted Land Use","Postal Code","Prev Price","Price Per SQFT","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Sold Date","Sold Price","Sold Price per SqFt","SP/OLP Ratio","SP/LP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Total Baths","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com","Zoning"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121218/0/120/90/83b21bf4030e327afd42c354bf7d9f69/13/c69ea01f8dc778fe754321d079e19d64/262121218.JPG","R2099591","Land Only","X","473 W ASH STREET","Fort St. James - Town","$19,000","185",,,"0.00",,,,,,,"Road Access",,,,,"250-996-1272",,"Fort St. James (Zone 57)",,,,,"No","Not Available",,,,,"Fort St. James","Land",,,,,,,"0","No",,"At Lot Line","2/9/2017",,,,"MORGAN DAVIS",,"0.00",,"$204.69","Yes",,,"No",,,"2/22/2017",,"8/9/2016","$19,000","0.19",,"At Lot Line",,,"ROGER BECK/ CARRIE BECK",,"011-690-135",,"House/Single Family","V0J 1P0","$0",,"No","BC","Vacant building lot that backs on to Nahounlie Creek in Fort St James. This property is a short walk to the downtown core, local schools, parks and beach.",,"BC Northern","For Sale","At Lot Line",,,,,,"2/10/2017",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal",,"R1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155512/0/120/90/5a707cb9f5091ba5f87e6a752e4bf404/13/4fabd439bc8cd8fa0b3f93c2b5ffdd42/262155512.JPG","R2133885","Land Only","T","4340 GUY ROAD","Bouchie Lake","$20,000","16",,,"0.00",,,,,,,"Road Access",,,,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,,"2/6/2017",,"Quesnel","Land",,,"BAKER CREEK",,,,"0","No",,"At Lot Line","2/6/2017",,,,"WILLIAM LACY",,"0.00",,"$157.66","Yes",,,"No",,,"2/6/2017",,"1/21/2017","$20,000","5.09",,"Not Available",,,"CLINTON ROACH",,"023-214-287",,"House/Single Family","V2J 3H9","$0",,"No","BC","Gorgeous building lot in the heart of the Cariboo. Priced to sell!","5496","BC Northern","For Sale","None",,,,,,"2/6/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"RR2"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261997927/0/120/90/47f6f019c9aef541d7a6a121d4cf6502/13/6d23274ac8126d4ea71717e754339fd7/261997927.JPG","N248242","Land Only","S","LOT B 27 HIGHWAY","Vanderhoof - Rural","$21,000","528",,,"0.00",,,,,,,"Allowed Access","3/17/2017",,,,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available","LAWSON",,,,"Vanderhoof","Land",,,,"2/7/2017",,"524",,"No",,"Nearby","4/28/2017",,,,"MANDI DAVIDSON",,"0.00",,"$337.00","Yes",,,"Yes","VANDERHOOF RURAL",,"3/6/2017",,"8/28/2015","$24,900","5.27","Vanderhoof Rural","Not Available",,,"Northwest Wood Preservers Ltd. INC. NO. 0669952",,"015-733-343",,"House/Single Family","V0J 3A0","$29,900",,"Yes - Forest Land Reserve","BC","Very affordable building lot on 5 acres of raw land located roughly halfway between Fort St James and Vanderhoof on Highway 27. Logged approximately 20-30 years ago. May be affected by the Forest Land Reserve Act.","Additional 80 acre parcel to the north and west also for sale by same owner (see MLS# N248166)","BC Northern","For Sale","None","2/7/2017","$21,000",,"0.70","0.84","3/6/2017",,,"None",,"Freehold NonStrata",,"No",,,"None","No","RR-1"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146284/0/120/90/0127140c2cb8dc28159846735092e323/16/c701d1391698095a3cabab55b7f3fbb5/262146284.JPG","R2124657","Land Only","S","52215 GUEST FRONTAGE ROAD","Cluculz Lake","$21,000","80",,,"0.00",,,,,,,"Road Access","2/23/2017",,,,"604-351-9417",,"PG Rural West (Zone 77)",,,,,"No","Not Available","C/O OF LB",,,,"Cluculz Lake","Land",,,,"2/9/2017",,"79","931","No",,"Nearby","11/14/2017",,,,"ROBBI-LAYNE ROBERTSON",,"589.00",,"$194.58","Yes",,,"Yes",,,"2/10/2017",,"11/21/2016","$25,000","6.57",,"Not Available",,,"KYLE DUNN",,"012-686-506",,"Other","V0J 3A3","$0",,"No","BC","6.57 Acres close to Cluculz Lake. Access off of Guest Frontage Road that runs parallel to Highway 16. Treed lot that is quite level. Zoned for Small Holdings H1, offers an array of options for lot usage in a rural area close to Prince George and Vanderhoof. Priced below assessed value.","All relevant details and measurements must be verified by the buyer.","BC Northern","For Sale","None","2/9/2017","$21,000",,"0.84","0.84","2/10/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"H1"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261498589/0/120/90/d86ad1aa5d28b432aa090654cc753878/13/34c0b0a9388df63510c05a9a481e7ff8/261498589.JPG","N242195","Land Only","X","918 3RD AVENUE","McBride - Town","$29,000","732",,,"0.00",,,,,,,"Road Access",,,,,"250-569-2735",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,,,,"McBride","Land",,,,,,,"125","No",,"At Lot Line","2/5/2017",,,,"RODGER PETERSON",,"50.00",,"$379.00","Yes",,,"Yes","VILLAGE OF MCBRIDE",,"2/6/2017",,"2/5/2015","$29,000","0.14","Mcbride","Not Available",,,"CRYSTAL MOYER",,"013-936-859",,"House/Single Family","V0J 2E0",,,"No","BC","Town lot with a small shed at the back. Zoned R2, the principal use is for Residential-One Family. 50' frontage X 125' deep. Cleared and ready for building. Town water and sewer at lot line. Owner is open to offers. information.","Town lot, zoned R2. Owner open to offers.","BC Northern","For Sale","At Lot Line",,,,,,"2/6/2017",,,"None",,"Freehold NonStrata",,"No",,,"City/Municipal","No","R2"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149207/0/120/90/26b315cb10811705423260bcfc3c6729/13/7fdeb3926fa63a2f3bb49ad29bcf1f9b/262149207.JPG","R2127580","Land Only","S","4576 CANIM-HENDRIX ROAD","Canim/Mahood Lake","$31,500","59",,,"49,658.40",,,,,,,"Road Access","2/20/2017",,,,,,"100 Mile House (Zone 10)",,,,,"No","Not Available","PEDERSEN",,,,"Forest Grove","Land",,,,"2/6/2017",,"55","999","No",,"Available","3/9/2017",,,,,,"999.00",,"$1,028.00","Yes",,,"No","DISTRICT OF 100 MILE HOUSE",,"2/7/2017",,"12/9/2016","$28,500","1.14","100 Mile House","Available",,,"BANK OF MONTREAL",,"008-658-048",,"House/Single Family","V0K 1M0","$0","$0.63","No","BC","This 1.14 acre property is walking distance to Forest Grove. There is a house on the property but of no value and there is no access.","Accepted offer, court date February 6, 9:45am in Prince George No Access to house!","BC Northern","For Sale","Unknown","2/6/2017","$31,500","$0.63","1.11","1.11","2/7/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"R1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157079/0/120/90/15072fcc941e28e227798addf08206a1/15/a246ad14fc9ad4036614e31daf14a161/262157079.JPG","R2135452","Residential Detached","S","118 7790 KING GEORGE HIGHWAY","East Newton","$35,000","8","2","1975","0.00","MANUF","1",,,,,,"3/16/2017","42",,,"604-530-0231",,"Surrey",,,"0","2",,,"DUONG/HONG",,,,"Surrey","Residential Detached",,,"Crispen Bays","2/7/2017","211768","7","PAD",,"Detached",,"5/1/2017",,"0","768","Solon","Concrete Block","0.00","1","$74.00","Yes",,,,,,"2/24/2017",,"1/30/2017","$35,000","0.00",,,,"1","Miranda Lindman & Wayne Lindman",,"900-582-466","2",,"V3W 5Y4","$0","$45.57",,"BC","Crispen Bays, Charming 2 bedroom home in a quiet cul-de-sac. This freshly painted home features: 2 door Fridge (2016), Stove with self cleaning oven, a portable dishwasher, in suite laundry, roof with recent snow coat, a large covered patio to enjoy year round, and a wired storage shed, and well appointed layout for a starting family or downsizer. This community offers a basketball court, spacious clubhouse and outdoor pool, located just minutes from all levels of school, shopping & Skytrain. Bring your pets! 2 dogs are allowed. Call today!","Pad rent as of May 1, 2017 is $913.50 per month includes water, sewer, garbage and taxes on the land.","Fraser Valley","For Sale",,"2/7/2017","$35,000","$45.57","1.00","1.00","2/24/2017",,,,,"Other","1",,,,,,"MHP"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113276/0/120/90/c7d241449d5f6e8fb7e0a85254e0472d/13/c51b1fb5a46e5a71878c6c69b2f110eb/262113276.JPG","R2091649","Land Only","S","2180 ROSITA-MELDRUM ROAD","Williams Lake - Rural West","$48,500","212",,,"0.00",,,,,,,"Allowed Access","4/4/2017",,,,"250-307-2100",,"Williams Lake (Zone 27)",,,,,"No","Not Available","PRUTTON",,,,"Williams Lake","Land",,,,"2/11/2017",,"211","0","No",,"None Available","10/31/2017",,,,"JOHN ARMSTRONG",,"0.00",,"$230.34","Yes",,,"Yes",,,"3/22/2017",,"7/14/2016","$54,000","80.00",,"Not Available",,,"JESSICA GRAY",,"013-458-485",,"Recreational","V2G 5H6","$69,000",,"Yes - Agricultural Land Reserve","BC","Get our your harmonica. This is the perfect get away for someone who wants off the grid. Most of the 80 acres is covered with its own year round lake/pond and surrounded by Crown land on all sides. There are potential building sites, one that might have a great view of the surrounding area. This could be your great hunting area. White Pelican and Nazko Lake Provincial Parks in the area, along with other lakes and miles of Crown land. Directions needed to find this parcel.",,"BC Northern","For Sale","None","2/11/2017","$48,500",,"0.70","0.90","3/21/2017",,,"None",,"Freehold NonStrata",,"No",,,"None",,"R/1"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158845/0/120/90/57a8cd86ac034536972401812ce53eaf/15/fa5d4215244bcd4554d870b2f986fd5a/262158845.JPG","R2137218","Residential Detached","S","13 7790 KING GEORGE HIGHWAY","East Newton","$52,000","4","2","1975","0.00","MANUF","1",,,,,,"5/29/2017","42",,,"604-581-3838",,"Surrey",,,"0","2",,,"BURGART",,,,"Surrey","Residential Detached",,,"CRISPEN BAYS","2/11/2017","253508","4",,,"Detached",,"7/31/2017",,"1","768","LES WELLMAN","Concrete Block",,"1","$72.00","Yes",,,,,,"2/22/2017",,"2/7/2017","$54,900","0.00",,,,"1","Dean Wiebe",,"900-582-576","2",,"V3W 5Y4","$0","$67.71",,"BC","Crispen Bays. 2 bedroom in Family Park, 2 dogs allowed. Pad rent $880, Clubhouse, swimming pool, stone throw to schools, grade 1 thru 12. Walk to shopping, bust stop out front of park. Located on quiet, cul-de-sac, fenced in back yard, dog friendly, new appliance, laminate flooring, bathroom renovated, H/W tank 2 years, new French doors, 2 storage sheds. Extra storage area in mobile. Double glazed windows. Ideal would be for owner to move June 1, 2017. Going to be out of country all of April. Two A/C units included","Cannot complete before May 24, 2017.","Fraser Valley","For Sale",,"2/11/2017","$52,000","$67.71","0.95","0.95","2/22/2017",,,,,"Other","1",,,,,,"MHP"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260482748/0/120/90/5a5eca83d3201ecfb857c33467cb2af6/13/8bf46ab953428fc5e07798a82c2f5345/260482748.JPG","N230386","Residential Attached","T","2002 HEMLOCK CRESCENT","Masset","$55,900","1265","4","9999","1,561.00","DUPXH","1",,,,,,,"999",,,"604-557-3597",,"Prince Rupert (Zone 52)",,,"0","4",,,,,"2/3/2017",,"Masset","Residential Attached",,,,,,,,,"Attached",,"2/6/2017",,"0","1,551","BRIAN BUSSIERE","Concrete Perimeter","0.00","1","$665.39","Yes",,,,"VILLAGE OF MASSET",,"2/6/2017",,"8/21/2013","$55,900","0.04","Masset",,,"3","MARCEL LAFLAMME",,"024-082-627",,,"V0T 1M0","$59,900","$36.04",,"BC","Great location, close to downtown. Priced to sell quick. This home is well kept. It has a newer metal roof. Currently rented.","Call for the rental income amount.","BC Northern","For Sale",,,,,,,"2/6/2017",,,,,"Freehold NonStrata","2",,,,,"No","R1"
